ENSEMBL	SYMBOL	hb01	hb02	hb03	hb04	hb05	hb06	hb07	hb08	hb09	hb10	hb11	hb12	hb13	hb14	hb15	hb16	hb17	hb18	P01	P02	P03	P04	P05	P06	P07	P08	P09	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	R01	R02	R03
ENSG00000138668	HNRNPD	2105.71660616249	2737.29515065806	856.89710532094	692.921433194584	697.592236639752	852.905772188592	528.412347969995	417.035483275481	313.15110063183	376.788162521175	1013.10579806558	897.009613824402	768.059157343578	1096.99230165849	800.436157422973	816.149628313823	692.115673571915	801.453704516517	1623.63866779527	2036.94535390486	1851.80173877343	2564.23804879522	2479.26734197996	1925.68079864419	1276.90503731588	2778.65392201623	1452.75824453881	2034.34118566276	2374.08779556506	2450.94057309283	4022.71509701048	2805.37148549939	2951.47630613122	5956.29222282311	2002.480360839	2347.63188665707	3038.44420766813	4207.43708164744	3538.81334808267	3867.90442363338	1865.57106188667	1933.1700435218	4299.70390827626	1624.43279982619
ENSG00000135870	RC3H1	2156.16606651846	3020.15495039905	1234.43641881145	1165.78120387855	1047.75261617861	1217.39541842303	700.899280208906	653.904321363967	401.968810460156	614.808001772356	1285.14346606467	1123.15444262612	1164.16513786039	1499.06172675976	862.530598726088	907.159119240904	882.300433731903	870.121708575459	1519.33218368236	1650.83192124978	1830.09708333762	1725.96747617442	1623.45951798049	1451.52826467297	1571.26630870341	2283.86647010455	1331.09868711437	2116.46328769002	2063.37089241879	2435.02537456625	2910.07180810392	2398.51806581041	3339.29279354302	3426.15726886416	1694.07466175448	2711.71469650679	3308.33466737505	3524.53181367101	2641.07110957565	2463.115403414	1976.09861133417	2597.38168935169	4089.87835755238	1951.91091320667
ENSG00000116001	TIA1	1432.32598315011	1915.56952989151	1169.56092818778	1002.09897556487	897.683882090529	1104.40362809036	543.927045578786	452.702991713516	304.910282194151	432.846889140179	1174.45227701676	1132.61656935423	1136.14788557993	1395.64483136112	1156.50896927053	1052.97002405956	915.631783450663	1136.94595291878	1900.14925303798	1500.12948452471	1703.81545171109	2262.73743010496	2029.57202705431	2032.94151985966	1504.95967419291	2505.11289169107	995.768142280645	2004.1950975768	1922.23168895574	1287.00905418251	2928.12041107282	1904.32961885836	2918.2655019606	3220.95311760889	1447.13443416583	1494.14399413103	3455.25084503808	3302.34253987963	2875.2164894582	3185.00539952991	2038.61924536508	2040.88004014286	3876.61304370188	2272.32115363649
ENSG00000107164	FUBP3	1006.06460072208	1425.04051008752	801.032099506115	758.394324520056	720.329923622795	764.51703297674	973.775432269404	855.105651014419	547.556602859165	811.473042698043	878.963085914303	796.711070506484	970.942708339994	993.575406259852	926.565491319926	941.410002923139	891.123438069222	1010.40063115301	1435.69019170503	1583.85306048309	1597.2653250262	1521.34246611251	1392.66875062878	1315.19688069816	1067.93867401005	2259.73049684056	1440.49005387416	2099.8309632288	1273.41266408082	2228.12779372076	2149.90711835477	1476.17497300765	2805.77729428591	4019.20800966473	1614.27738297038	3102.80661687948	3847.02731880618	3199.96120783851	2770.9052775674	1789.1286014848	1926.97525602417	1377.79037344444	2574.08940642139	1473.65151021215
ENSG00000164548	TRA2A	928.562531189708	1203.04927484775	479.357791830431	501.958833495289	412.916395612057	418.251869054021	317.59498634466	299.972891478855	195.032703025087	312.458476237072	514.057386425867	502.438929262403	443.445475749311	598.271572446351	548.177489629066	512.784658556887	486.245572367804	578.773177068231	1749.59366747879	1696.14115059196	1514.39300427129	1590.53932941847	728.030961388442	994.417153698612	1349.23954769097	1641.24618195096	1082.66782615524	1489.63255955786	2126.56755068583	1587.27579971726	1919.52200986935	1642.32453706912	1990.50561771028	2387.2441051791	1135.49371026573	2213.66669846311	3060.20956732192	2336.25486412989	2402.48695471903	2577.86026390773	2288.70178148873	1599.94224147539	2438.79205677429	1287.53085584483
ENSG00000179950	PUF60	636.101891444918	438.611714788244	1365.98949702055	1416.7606206262	1451.57393699745	1545.43610003403	1541.43083889693	1488.88983941334	912.899553596301	1473.14981590596	1574.06623069819	1530.97210460747	1630.79730515215	1876.00181279219	1736.70390519651	1730.15892429117	1565.5931029665	1830.4927939141	1427.81800422481	995.818062281343	850.427862984921	854.086998519303	1121.26673236968	688.673976402164	703.252184202293	1238.97996088454	1550.90376985599	1204.8040031595	631.966582670381	1012.20662629029	408.747773119302	525.075224886561	1595.1899164535	1750.14430573211	1111.77019495154	1845.26243092972	2052.47341535176	1700.18360974674	1201.79832423127	1007.08110569256	574.966545105705	335.471760309355	1927.41393861664	1413.57459013156
ENSG00000011304	PTBP1	199.604386625819	221.096109291217	378.440361971393	402.840150794226	384.721663753084	438.298799596915	459.965152637095	401.488107802492	259.127957540374	400.682045998128	440.888634343354	403.086598617295	427.021569240077	520.950529157646	310.472206515577	340.551643469077	279.395137348436	315.872818671136	792.138865197088	1187.88979536231	979.669220352698	1583.61964308787	968.726911888295	332.808966762036	758.507712961045	906.10466295209	2661.17502500669	1395.03621418468	578.249423143398	969.766096886081	495.805740381076	752.998344817035	597.794475071224	1460.06513903618	422.709909234727	1063.07859018434	1715.11034071812	2212.09026995235	1394.88503560361	1535.13026951809	802.720283361169	190.7364523498	2220.9403920883	938.849123612379
ENSG00000162664	ZNF326	971.700475552065	1338.21329307842	587.483609536544	409.205570784203	446.56817234696	540.355900542559	247.322532469549	193.884917663162	148.334731878235	207.692987145818	578.783590191168	578.135943087247	503.344428900634	677.525641817273	588.926966734236	631.194856429755	552.908271805326	587.601920447238	1293.99081706108	1312.98266767659	877.065394656142	1352.30441432223	1087.589109666	807.963937380122	1103.10128322017	1604.03655650231	602.163691789836	1312.91411215741	1116.47429605101	1426.00178798128	1596.77052148424	1515.58224140685	2309.75786425369	2404.43398172405	1290.77490141319	1781.5209300955	2070.97397105747	1479.08349906218	2223.82626201244	1874.90873991215	1212.45372424232	1663.89505196914	2789.64789568964	1086.09647675108
ENSG00000128016	ZFP36	255.903059776691	256.006021284567	213.548489969572	220.97100822347	202.820167888742	243.296838861489	131.41861503917	158.217409225128	102.552407224459	181.042117113833	273.91378984736	224.252403456101	234.765251867282	270.623651510466	128.069785187676	109.602827783151	108.817053493601	135.374065144773	550.069100180338	1990.65114131612	5509.03617970742	723.601484856631	479.410864370076	58.1413255186688	998.618101567256	679.829913602234	3225.51179558053	2947.03999047211	1037.47847321721	1739.00069233729	549.951549287789	1895.80912839367	698.498203846663	1172.13470690837	521.917336912266	1049.03385271239	719.345136557535	1302.63907575727	779.005007950466	158.191943593301	714.521531781847	326.4959272576	1362.14619814192	104.840115434758
ENSG00000107864	CPEB3	1848.35124318707	2481.28912937349	1522.77193269442	1354.92511215214	1340.6140245202	1530.85651418465	910.804012563136	933.757079877777	632.711726715189	783.903177147713	1597.51775380156	1522.45619055218	1556.4066697868	1850.87247372336	1783.27473617385	1718.41576417155	1638.13780529557	1772.61547620728	150.555585559198	179.266950875573	249.603537511815	101.81824172163	208.999364425798	527.281676255514	80.3716781945478	774.362475552841	99.1678745392429	233.892062735881	245.413689603664	234.483924958232	210.213140461355	220.46769077387	1542.69541953864	773.544444522481	1846.12082808636	209.590697658294	269.890459706912	314.768137871113	271.8749671622	257.34041528206	195.376981346599	1310.47162555628	322.191146193501	387.55503346107
