ENSEMBL	logFC	logCPM	F	PValue	FDR	SYMBOL
ENSG00000166801	3.20050773736024	5.15576699957065	423.305425965198	1.05751720711405e-24	2.53248265626601e-20	FAM111A
ENSG00000110931	-2.89368753552722	7.38392524572674	410.669835481024	1.97349125756167e-24	2.53248265626601e-20	CAMKK2
ENSG00000118271	-9.30651155740829	5.69207715170334	336.086694600155	1.16435784520712e-22	9.50054871637412e-19	TTR
ENSG00000178974	-1.78894641603005	5.39238589275864	332.093331551139	1.48070114418455e-22	9.50054871637412e-19	FBXO34
ENSG00000184207	-2.62967296452989	4.18343663236945	314.064934691839	4.52813397170077e-22	2.324291167674e-18	PGP
ENSG00000183379	-5.00735761275528	2.11889924904153	304.283871231702	8.50386777629695e-22	3.08205622627568e-18	SYNDIG1L
ENSG00000127445	-2.78228115128958	5.58139668337235	302.685914989483	9.44190662079363e-22	3.08205622627568e-18	PIN1
ENSG00000172346	-3.55135853281591	3.55030899245425	302.421854706982	9.60703285026512e-22	3.08205622627568e-18	CSDC2
ENSG00000174516	-3.28718397006644	4.91795019587336	299.842543147305	1.13878134642353e-21	3.24742480621776e-18	PELI3
ENSG00000069493	3.07197674901593	3.9372281166077	296.46804952683	1.42527709326642e-21	3.65797365986826e-18	CLEC2D
ENSG00000189241	-2.2004841214254	7.32763173042661	289.808980152169	2.23400525416758e-21	5.21234044074646e-18	TSPYL1
ENSG00000164715	-2.13746256945813	7.12601497483643	288.475716149381	2.44698199137274e-21	5.23348273404844e-18	LMTK2
ENSG00000155858	-2.09158827625981	4.51297275926542	270.472804162951	8.68380265672964e-21	1.71438303988436e-17	LSM11
ENSG00000176095	-1.50020364602398	6.31699087838824	262.11128436489	1.60319881339e-20	2.42618787495287e-17	IP6K1
ENSG00000224781	-2.11154970452082	6.32488446436102	261.895475463524	1.62913004196308e-20	2.42618787495287e-17	EIF4A2P4
ENSG00000162378	-1.23391482904457	7.19194557800821	261.813196553344	1.63913148967967e-20	2.42618787495287e-17	ZYG11B
ENSG00000156976	-1.67881440236652	8.13650892474972	260.650452956348	1.78752904820412e-20	2.42618787495287e-17	EIF4A2
ENSG00000102699	1.95181852926852	6.62553974039183	260.516574267228	1.80549430287005e-20	2.42618787495287e-17	PARP4
ENSG00000105939	2.34945943305407	6.02495340386433	260.477238677078	1.81080851691755e-20	2.42618787495287e-17	ZC3HAV1
ENSG00000070718	-1.52307805140299	5.92211213878322	259.900284325903	1.8906587765072e-20	2.42618787495287e-17	AP3M2
ENSG00000121671	-2.24115077808776	6.28208499343802	253.541603004408	3.05874396893097e-20	3.73822209345778e-17	CRY2
ENSG00000068971	-1.82757096204262	6.05166173769329	251.643441775763	3.53815667033342e-20	4.08133224866674e-17	PPP2R5B
ENSG00000166848	-1.99982923337513	6.85821297732557	251.212533136857	3.65753523161251e-20	4.08133224866674e-17	TERF2IP
ENSG00000148925	-1.71593008535421	5.73091576291673	249.439303968943	4.1948365390836e-20	4.46748457439681e-17	BTBD10
ENSG00000149582	-2.07309601794663	5.06069210971045	248.966077618761	4.35172859380169e-20	4.46748457439681e-17	TMEM25
ENSG00000069966	-2.23126110924089	5.83583251891055	247.203184589467	4.99223536687735e-20	4.92791233426566e-17	GNB5
ENSG00000181852	-1.34718742908035	6.11583777826668	243.329007901401	6.7705494870789e-20	6.43578342910667e-17	RNF41
ENSG00000165355	-1.60104678129993	4.56560826101476	241.839630058715	7.62028194713293e-20	6.85115816881886e-17	FBXO33
ENSG00000084093	2.1340191562314	5.59026978480418	241.561697392112	7.79080818862506e-20	6.85115816881886e-17	REST
ENSG00000143740	-1.75788494714172	4.94442699333401	240.582116026251	8.42428580837386e-20	6.85115816881886e-17	SNAP47
ENSG00000241360	-5.80038144066088	2.48830151385252	240.439423731811	8.52095553781658e-20	6.85115816881886e-17	PDXP
ENSG00000143545	3.35120386685465	3.56818503079929	240.408206280811	8.54225838309774e-20	6.85115816881886e-17	RAB13
ENSG00000148773	8.13128836827848	6.33010120278348	238.496135256477	9.95910450777722e-20	7.74546718763947e-17	MKI67
ENSG00000172247	-7.73210893411905	3.32140736042606	235.890713262353	1.22960224514737e-19	9.28168871226686e-17	C1QTNF4
ENSG00000142686	-2.36334012188221	5.86565205775275	234.376287632665	1.39113009511681e-19	1.02009582546209e-16	C1orf216
ENSG00000123609	2.49957439403557	3.17528739076509	232.712951479818	1.59433036650967e-19	1.13662469045752e-16	NMI
ENSG00000135940	-2.42565548966987	6.39523651544018	231.494642418517	1.76267852285078e-19	1.22267957537744e-16	COX5B
ENSG00000213064	2.02235503312784	6.92479110614669	231.100366212015	1.82105380421324e-19	1.22993015487192e-16	SFT2D2
ENSG00000131100	-2.04884593055583	5.98507474367754	229.526213335206	2.07500030427261e-19	1.3655098156194e-16	ATP6V1E1
ENSG00000105483	1.85486812840695	5.68453793532866	229.127701288165	2.14497811489532e-19	1.37627158296971e-16	CARD8
ENSG00000064012	2.56444500073871	3.81213476233721	228.134160473466	2.33038268288654e-19	1.45876272088495e-16	CASP8
ENSG00000103264	-1.89420967607424	5.91226116160928	227.275213537134	2.50414899431904e-19	1.53021390331424e-16	FBXO31
ENSG00000225554	-4.54587808880163	0.654758707490882	226.628617137441	2.64385042329888e-19	1.53155394893742e-16	
ENSG00000174684	-2.97330986199158	6.46977368717848	226.567293276122	2.65751572092076e-19	1.53155394893742e-16	B4GAT1
ENSG00000132879	-2.47708514404341	5.66244460693683	226.443324535711	2.68536636283592e-19	1.53155394893742e-16	FBXO44
ENSG00000140280	-1.99239399390848	3.69862080988267	225.110372283487	3.00481902453345e-19	1.67649304923155e-16	LYSMD2
ENSG00000169758	-3.32130234352685	3.43923735408977	223.346820208572	3.48959409605129e-19	1.90554111649269e-16	TMEM266
ENSG00000253719	-1.65162885751947	6.942543947707	222.384532748911	3.7879082624483e-19	2.02534719907783e-16	ATXN7L3B
ENSG00000124702	-1.98854022028723	7.22810555129719	221.245336290515	4.17580180334325e-19	2.16302440268447e-16	KLHDC3
ENSG00000137409	-1.64151002939548	7.6190903320218	221.139300120923	4.21395753493954e-19	2.16302440268447e-16	MTCH1
ENSG00000101104	3.18770300979323	4.56919418903545	220.329087303156	4.51779044296171e-19	2.25329034188056e-16	PABPC1L
ENSG00000182768	-2.17216783091256	5.71791902312868	220.010083413637	4.64361542415247e-19	2.25329034188056e-16	NGRN
ENSG00000196935	2.27490696567889	6.31148124671014	219.986153622761	4.65320039429844e-19	2.25329034188056e-16	SRGAP1
ENSG00000185933	-3.52758881646448	0.691156416265123	219.540968075716	4.83533416201901e-19	2.26140947930749e-16	CALHM1
ENSG00000022567	-3.10275647259731	5.20731843336005	219.514983587536	4.84619214346042e-19	2.26140947930749e-16	SLC45A4
ENSG00000158301	-2.18722314045009	5.65160182216253	218.057825636119	5.49771745639054e-19	2.51962354496899e-16	GPRASP2
ENSG00000171657	3.02585174821529	2.54185195706817	216.184137873784	6.47250902168781e-19	2.91433235160733e-16	GPR82
ENSG00000102109	-5.57206986691629	5.23346221101353	215.071802441801	7.13508497578384e-19	3.05702672832958e-16	PCSK1N
