ID	ENSEMBL	SYMBOL	hb01	hb02	hb03	hb04	hb05	hb06	hb07	hb08	hb09	hb10	hb11	hb12	hb13	hb14	hb15	hb16	hb17	hb18	P01	P02	P03	P04	P05	P06	P07	P08	P09	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	R01	R02	R03
chr1:1158624|1159348	ENSG00000078808	SDF4	7.92423426456383	4.3190791693242	16.7872927736485	8.83735053680789	14.0431313951947	10.9136224189932	6.45577826451976	6.52358169489997	0	12.0431318632879	13.5858570439835	15.0368982303104	14.0442273412331	10.5461554154647	14.0907924227492	8.55374249962921	11.3513234643547	17.8946434916676	4.95268106203145	4.20437225780724	4.26696573785182	3.43151885169325	2.8531566144461	2.04117599666966	2.06771194263777	7.40528666272127	4.3134317595942	3.36767873133148	0	4.9855116020927	2.56085306075578	0	35.1315437652864	0	18.5247598349395	4.3361011969156	7.87074135675152	8.11970010833828	10.1857836061564	14.0102526828219	6.52777306930756	11.3247097841932	14.4465136302814	10.9570824483757
chr1:1599766|1671143	n/a		1.05656456860851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1:1601103|1666274	n/a		3.69797599012979	0	0	5.04991459246165	0	0	0	0	0	0	0	0	0	0	0	0	2.27026469287094	4.88035731590934	2.47634053101572	0	5.97375203299255	8.57879712923313	1.90210440963073	0	10.3385597131889	0	0	0	0	4.9855116020927	0	3.85692228448671	0	0	5.6999261030583	0	0	0	11.8834142071825	18.013182020771	0	0	0	5.47854122418783
chr1:1647785|1653150	ENSG00000268575		1.05656456860851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1:1647785|1654270	ENSG00000268575		2.11312913721702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1:1666129|1671143	ENSG00000215790	SLC35E2A	2.64141142152128	0	0	1.26247864811541	0	1.28395557870508	0	0	0	1.33812576258755	0	0	0	0	0	2.1384356249073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1:1747195|1770677	ENSG00000078369	GNB1	2.64141142152128	0	1.24350316841841	0	0	0	0	1.30471633897999	0	2.6762515251751	0	2.05048612231506	2.10663410118497	0	0	3.5640593748455	2.27026469287094	2.44017865795467	0	0	0	0	0	0	0	5.28949047337234	0	2.24511915422099	2.2920408346098	0	7.68255918226734	0	6.75606610870891	2.72019327761812	8.54988915458744	0	6.29659308540121	4.87182006500297	6.79052240410427	6.00439400692368	0	0	7.22325681514072	10.9570824483757
chr1:2066701|2082417	ENSG00000067606	PRKCZ	1.58484685291277	0	1.24350316841841	1.89371797217312	0	0	0	0	1.33079424406247	2.00718864388132	0	0	2.10663410118497	0	2.81815848454984	0	0	3.25357154393956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.70242644348357	0	5.6999261030583	0	0	0	0	0	0	0	0	0
chr1:2066701|2087531	ENSG00000067606	PRKCZ	2.11312913721702	0	1.86525475262761	0	0	0	0	0	0	0	2.71717140879669	4.10097224463012	0	0	0	0	0	3.25357154393956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1:7837220|7838229	ENSG00000049245	VAMP3	4.22625827443404	4.3190791693242	4.35226108946443	3.15619662028853	0	0	1.29115565290395	0	8.65016258640606	7.35969169423151	7.4722213741909	5.46796299284016	2.80884546824662	2.81230811079058	0	2.8512474998764	20.4323822358384	26.8419652375014	4.95268106203145	4.20437225780724	10.2407177708444	6.86303770338651	4.75526102407683	6.12352799000898	0	7.40528666272127	2.1567158797971	19.0835128108784	2.2920408346098	12.4637790052317	2.56085306075578	11.5707668534601	25.6730512130939	10.8807731104725	14.2498152576457	2.89073413127706	9.44488962810182	9.74364013000593	0	20.0146466897456	0	24.914361525225	14.4465136302814	68.4817653023479
