circRNA_ID	chr	circRNA_start	circRNA_end	circRNA_type	dataset
chr1:1158624|1159348	chr1	1158624	1159348	exon	GBM primary
chr1:1601103|1666274	chr1	1601103	1666274	intergenic_region	GBM primary
chr1:1747195|1756938	chr1	1747195	1756938	exon	GBM primary
chr1:7837220|7838229	chr1	7837220	7838229	exon	GBM primary
chr1:8555123|8617582	chr1	8555123	8617582	exon	GBM primary
chr1:8601273|8674745	chr1	8601273	8674745	exon	GBM primary
chr1:9991949|9994918	chr1	9991949	9994918	exon	GBM primary
chr1:10155519|10165802	chr1	10155519	10165802	exon	GBM primary
chr1:10407819|10408791	chr1	10407819	10408791	exon	GBM primary
chr1:10423341|10425706	chr1	10423341	10425706	exon	GBM primary
chr1:12061458|12062160	chr1	12061458	12062160	exon	GBM primary
chr1:12422776|12423303	chr1	12422776	12423303	exon	GBM primary
chr1:14099573|14109326	chr1	14099573	14109326	exon	GBM primary
chr1:16199311|16203173	chr1	16199311	16203173	exon	GBM primary
chr1:17907048|17914974	chr1	17907048	17914974	exon	GBM primary
chr1:19519927|19523759	chr1	19519927	19523759	exon	GBM primary
chr1:21071237|21103243	chr1	21071237	21103243	exon	GBM primary
chr1:21076216|21100103	chr1	21076216	21100103	exon	GBM primary
chr1:21083659|21100103	chr1	21083659	21100103	exon	GBM primary
chr1:21295967|21307720	chr1	21295967	21307720	exon	GBM primary
chr1:21295967|21329301	chr1	21295967	21329301	exon	GBM primary
chr1:21324094|21329301	chr1	21324094	21329301	exon	GBM primary
chr1:21377359|21415706	chr1	21377359	21415706	exon	GBM primary
chr1:21415631|21437876	chr1	21415631	21437876	exon	GBM primary
chr1:23356962|23370979	chr1	23356962	23370979	exon	GBM primary
chr1:23356962|23377013	chr1	23356962	23377013	exon	GBM primary
chr1:23356962|23385660	chr1	23356962	23385660	exon	GBM primary
chr1:23376880|23385660	chr1	23376880	23385660	exon	GBM primary
chr1:26772807|26774151	chr1	26772807	26774151	exon	GBM primary
chr1:27056142|27059283	chr1	27056142	27059283	exon	GBM primary
chr1:27269151|27269556	chr1	27269151	27269556	exon	GBM primary
chr1:28116073|28120143	chr1	28116073	28120143	exon	GBM primary
chr1:28802619|28807116	chr1	28802619	28807116	exon	GBM primary
chr1:29068915|29070498	chr1	29068915	29070498	exon	GBM primary
chr1:29474592|29476704	chr1	29474592	29476704	exon	GBM primary
chr1:29481208|29481422	chr1	29481208	29481422	exon	GBM primary
chr1:31810022|31821821	chr1	31810022	31821821	exon	GBM primary
