circRNA_ID	chr	circRNA_start	circRNA_end	circRNA_type	dataset
chr1:12422776|12423303	chr1	12422776	12423303	exon	GBM proneural
chr1:29474592|29476704	chr1	29474592	29476704	exon	GBM proneural
chr1:45340350|45341367	chr1	45340350	45341367	exon	GBM proneural
chr1:48593580|48594245	chr1	48593580	48594245	exon	GBM proneural
chr1:48850981|48869554	chr1	48850981	48869554	exon	GBM proneural
chr1:61291008|61292257	chr1	61291008	61292257	exon	GBM proneural
chr1:65047839|65099943	chr1	65047839	65099943	exon	GBM proneural
chr1:93131496|93170301	chr1	93131496	93170301	exon	GBM proneural
chr1:108226110|108247683	chr1	108226110	108247683	exon	GBM proneural
chr1:109859472|109860591	chr1	109859472	109860591	exon	GBM proneural
chr1:145319624|145323705	chr1	145319624	145323705	intron	GBM proneural
chr1:151089868|151090615	chr1	151089868	151090615	exon	GBM proneural
chr1:170688867|170699489	chr1	170688867	170699489	exon	GBM proneural
chr1:186862143|186880521	chr1	186862143	186880521	exon	GBM proneural
chr10:31644073|31676195	chr10	31644073	31676195	exon	GBM proneural
chr10:32096728|32097641	chr10	32096728	32097641	exon	GBM proneural
chr10:81459935|81587113	chr10	81459935	81587113	intergenic_region	GBM proneural
chr11:1000432|1003804	chr11	1000432	1003804	exon	GBM proneural
chr11:9424837|9431633	chr11	9424837	9431633	exon	GBM proneural
chr11:16117542|16133469	chr11	16117542	16133469	exon	GBM proneural
chr11:16205432|16208501	chr11	16205432	16208501	exon	GBM proneural
chr11:28420335|28445911	chr11	28420335	28445911	exon	GBM proneural
chr11:46333876|46334470	chr11	46333876	46334470	exon	GBM proneural
chr11:66583524|66595835	chr11	66583524	66595835	exon	GBM proneural
chr11:115080294|115111140	chr11	115080294	115111140	exon	GBM proneural
chr11:120524394|120531109	chr11	120524394	120531109	exon	GBM proneural
chr11:133520482|133523742	chr11	133520482	133523742	intergenic_region	GBM proneural
chr12:1034616|1036429	chr12	1034616	1036429	exon	GBM proneural
chr12:50488220|50490755	chr12	50488220	50490755	exon	GBM proneural
chr12:57927736|57928235	chr12	57927736	57928235	exon	GBM proneural
chr12:97180575|97303673	chr12	97180575	97303673	intergenic_region	GBM proneural
chr12:122090634|122091165	chr12	122090634	122091165	exon	GBM proneural
chr13:21742127|21742538	chr13	21742127	21742538	exon	GBM proneural
chr13:49951103|49957077	chr13	49951103	49957077	exon	GBM proneural
chr13:114240089|114294690	chr13	114240089	114294690	exon	GBM proneural
chr13:114806476|114839312	chr13	114806476	114839312	exon	GBM proneural
chr14:35331250|35331528	chr14	35331250	35331528	exon	GBM proneural
chr14:56083235|56086030	chr14	56083235	56086030	exon	GBM proneural
chr14:58718837|58724716	chr14	58718837	58724716	exon	GBM proneural
chr14:70442432|70461197	chr14	70442432	70461197	exon	GBM proneural
chr14:97312432|97322923	chr14	97312432	97322923	exon	GBM proneural
chr15:40678563|40684224	chr15	40678563	40684224	exon	GBM proneural
chr15:41361768|41362745	chr15	41361768	41362745	exon	GBM proneural
chr15:41648237|41668026	chr15	41648237	41668026	exon	GBM proneural
chr15:44776422|44783197	chr15	44776422	44783197	exon	GBM proneural
chr15:47101019|47116649	chr15	47101019	47116649	intergenic_region	GBM proneural
chr15:84782379|84795352	chr15	84782379	84795352	exon	GBM proneural
chr16:3690716|3693037	chr16	3690716	3693037	exon	GBM proneural
chr16:21972649|21987564	chr16	21972649	21987564	exon	GBM proneural
chr16:22162016|22163955	chr16	22162016	22163955	exon	GBM proneural
chr17:5241314|5250220	chr17	5241314	5250220	exon	GBM proneural
chr18:13438243|13484118	chr18	13438243	13484118	exon	GBM proneural
chr19:1516483|1517518	chr19	1516483	1517518	intergenic_region	GBM proneural
chr19:5645348|5654467	chr19	5645348	5654467	exon	GBM proneural
chr19:14232344|14237049	chr19	14232344	14237049	exon	GBM proneural
chr19:21281621|21349264	chr19	21281621	21349264	intergenic_region	GBM proneural
chr19:36252920|36253257	chr19	36252920	36253257	exon	GBM proneural
chr19:37916770|37935866	chr19	37916770	37935866	exon	GBM proneural
chr19:52918377|52938462	chr19	52918377	52938462	intergenic_region	GBM proneural
chr2:33488361|33518349	chr2	33488361	33518349	exon	GBM proneural
chr2:33525518|33526711	chr2	33525518	33526711	exon	GBM proneural
chr2:39146504|39148564	chr2	39146504	39148564	exon	GBM proneural
chr2:43805652|43818093	chr2	43805652	43818093	exon	GBM proneural
chr2:43813540|43819555	chr2	43813540	43819555	exon	GBM proneural
chr2:44502643|44503104	chr2	44502643	44503104	exon	GBM proneural
