circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:741179|745550	chr1	741179	745550	13	5_8_0	9	0.743	exon	ENSG00000230092.7_5,	-	K00302:154:HGK25BBXY:2:2107:22790:45344,K00302:154:HGK25BBXY:2:1228:28107:47137,K00302:154:HGK25BBXY:2:1228:28128:47208,K00302:154:HGK25BBXY:2:1101:28584:37519,K00302:154:HGK25BBXY:2:1115:20912:5024,K00302:154:HGK25BBXY:2:1125:22140:29237,K00302:154:HGK25BBXY:2:2101:5680:19531,K00302:154:HGK25BBXY:2:2210:1966:22661,K00302:154:HGK25BBXY:2:2213:23175:18933,K00302:154:HGK25BBXY:2:2117:31335:38205,K00302:154:HGK25BBXY:2:2117:29274:39312,K00302:154:HGK25BBXY:2:2118:7334:5622,K00302:154:HGK25BBXY:2:2118:7314:5833,
chr1:1158624|1159348	chr1	1158624	1159348	4	2_4_0	28	0.222	exon	ENSG00000078808.16_3,	-	K00302:154:HGK25BBXY:2:1215:9343:35163,K00302:154:HGK25BBXY:2:2125:12692:41176,K00302:154:HGK25BBXY:2:1208:27072:4514,K00302:154:HGK25BBXY:2:1215:2554:5077,
chr1:1601103|1666274	chr1	1601103	1666274	2	0_2_2	2	0.667	intergenic_region	n/a	-	K00302:154:HGK25BBXY:2:1117:32542:32384,K00302:154:HGK25BBXY:2:1211:11129:31822,
chr1:1735858|1747301	chr1	1735858	1747301	2	2_1_0	219	0.018	exon	ENSG00000078369.18_3,	-	K00302:154:HGK25BBXY:2:1120:24860:24525,K00302:154:HGK25BBXY:2:1110:9090:29307,
chr1:1735858|1749314	chr1	1735858	1749314	3	3_1_2	225	0.026	exon	ENSG00000078369.18_3,	-	K00302:154:HGK25BBXY:2:1208:3265:8875,K00302:154:HGK25BBXY:2:1217:22678:42056,K00302:154:HGK25BBXY:2:2212:7090:15258,
chr1:1747195|1756938	chr1	1747195	1756938	5	4_4_0	189	0.050	exon	ENSG00000078369.18_3,	-	K00302:154:HGK25BBXY:2:2107:22577:2211,K00302:154:HGK25BBXY:2:1203:13098:13183,K00302:154:HGK25BBXY:2:1203:13595:13588,K00302:154:HGK25BBXY:2:1206:10419:2738,K00302:154:HGK25BBXY:2:1210:27874:17579,
chr1:1747195|1770677	chr1	1747195	1770677	4	3_3_0	138	0.055	exon	ENSG00000078369.18_3,	-	K00302:154:HGK25BBXY:2:1205:29721:33510,K00302:154:HGK25BBXY:2:1217:7578:36358,K00302:154:HGK25BBXY:2:1211:23997:12761,K00302:154:HGK25BBXY:2:1211:24048:12849,
chr1:1770629|1811341	chr1	1770629	1811341	2	1_1_1	42	0.087	intron	ENSG00000078369.18_3,	-	K00302:154:HGK25BBXY:2:2101:29660:40508,K00302:154:HGK25BBXY:2:1101:22049:33229,
chr1:6291962|6293703	chr1	6291962	6293703	3	2_3_0	28	0.176	exon	ENSG00000116237.16_3,	-	K00302:154:HGK25BBXY:2:2223:21491:30538,K00302:154:HGK25BBXY:2:1216:27833:26617,K00302:154:HGK25BBXY:2:2210:16447:25210,
chr1:6867043|6948959	chr1	6867043	6948959	3	2_2_2	4	0.600	intron	ENSG00000171735.19_4,	+	K00302:154:HGK25BBXY:2:2107:22678:29360,K00302:154:HGK25BBXY:2:1225:28290:37994,K00302:154:HGK25BBXY:2:1104:4868:20762,
chr1:7837220|7838229	chr1	7837220	7838229	25	17_7_9	47	0.515	exon	ENSG00000049245.13_4,	+	K00302:154:HGK25BBXY:2:2104:21491:29589,K00302:154:HGK25BBXY:2:2108:25875:39365,K00302:154:HGK25BBXY:2:2109:6522:22643,K00302:154:HGK25BBXY:2:2109:2270:45203,K00302:154:HGK25BBXY:2:1227:24738:32754,K00302:154:HGK25BBXY:2:1227:23236:40033,K00302:154:HGK25BBXY:2:2216:8653:44974,K00302:154:HGK25BBXY:2:2218:14712:19038,K00302:154:HGK25BBXY:2:1204:28757:8242,K00302:154:HGK25BBXY:2:1205:23399:19601,K00302:154:HGK25BBXY:2:1208:3731:21219,K00302:154:HGK25BBXY:2:1101:16102:3688,K00302:154:HGK25BBXY:2:1106:10490:20234,K00302:154:HGK25BBXY:2:1106:10642:20357,K00302:154:HGK25BBXY:2:2225:10328:43480,K00302:154:HGK25BBXY:2:1119:3945:27109,K00302:154:HGK25BBXY:2:2213:29640:35339,K00302:154:HGK25BBXY:2:1213:7344:1806,K00302:154:HGK25BBXY:2:1109:6411:25685,K00302:154:HGK25BBXY:2:2202:12926:43234,K00302:154:HGK25BBXY:2:2114:22445:32367,K00302:154:HGK25BBXY:2:2118:17056:31470,K00302:154:HGK25BBXY:2:1104:13869:47612,K00302:154:HGK25BBXY:2:1213:19481:21254,K00302:154:HGK25BBXY:2:2117:3985:24859,
chr1:8525985|8674745	chr1	8525985	8674745	3	3_3_0	43	0.122	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:2:1118:32289:6589,K00302:154:HGK25BBXY:2:2212:24464:21483,K00302:154:HGK25BBXY:2:1111:29823:3125,
chr1:8555123|8601377	chr1	8555123	8601377	3	2_1_2	140	0.041	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:2:1203:1996:37519,K00302:154:HGK25BBXY:2:2228:13677:25369,K00302:154:HGK25BBXY:2:1220:2859:1560,
chr1:8555123|8617582	chr1	8555123	8617582	14	10_10_3	70	0.286	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:2:2108:11820:45080,K00302:154:HGK25BBXY:2:2214:24677:19882,K00302:154:HGK25BBXY:2:2221:6644:40895,K00302:154:HGK25BBXY:2:2221:6350:41405,K00302:154:HGK25BBXY:2:2221:11475:41880,K00302:154:HGK25BBXY:2:1224:26829:31839,K00302:154:HGK25BBXY:2:1120:6380:18212,K00302:154:HGK25BBXY:2:2208:25865:28340,K00302:154:HGK25BBXY:2:1215:16346:45045,K00302:154:HGK25BBXY:2:1216:12225:37413,K00302:154:HGK25BBXY:2:2126:29650:32578,K00302:154:HGK25BBXY:2:2128:12307:37132,K00302:154:HGK25BBXY:2:1123:5497:27795,K00302:154:HGK25BBXY:2:2118:18284:15276,
chr1:8555123|8674745	chr1	8555123	8674745	9	7_9_1	55	0.247	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:2:2107:17208:21008,K00302:154:HGK25BBXY:2:2220:2321:32560,K00302:154:HGK25BBXY:2:1208:15514:33017,K00302:154:HGK25BBXY:2:2225:6492:7996,K00302:154:HGK25BBXY:2:1121:6400:2774,K00302:154:HGK25BBXY:2:2207:22252:40086,K00302:154:HGK25BBXY:2:2209:22577:13746,K00302:154:HGK25BBXY:2:1202:17066:15065,K00302:154:HGK25BBXY:2:1216:26798:34565,
chr1:8568686|8617582	chr1	8568686	8617582	13	2_9_9	92	0.220	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:2:1228:32370:22977,K00302:154:HGK25BBXY:2:2219:15919:5235,K00302:154:HGK25BBXY:2:1218:24616:1771,K00302:154:HGK25BBXY:2:1222:21633:25544,K00302:154:HGK25BBXY:2:1213:19076:43937,K00302:154:HGK25BBXY:2:1214:6593:13517,K00302:154:HGK25BBXY:2:2119:24160:27848,K00302:154:HGK25BBXY:2:1108:27458:29694,K00302:154:HGK25BBXY:2:2112:8298:19074,K00302:154:HGK25BBXY:2:1220:11272:10124,K00302:154:HGK25BBXY:2:1220:11992:11477,K00302:154:HGK25BBXY:2:2122:23957:13183,K00302:154:HGK25BBXY:2:2122:24830:14133,
chr1:8601273|8617582	chr1	8601273	8617582	22	11_12_2	91	0.326	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:2:2108:30117:3354,K00302:154:HGK25BBXY:2:2219:13788:41845,K00302:154:HGK25BBXY:2:1206:30502:29800,K00302:154:HGK25BBXY:2:1206:30218:30011,K00302:154:HGK25BBXY:2:1210:18385:2475,K00302:154:HGK25BBXY:2:1102:27478:15240,K00302:154:HGK25BBXY:2:1105:7547:13095,K00302:154:HGK25BBXY:2:2221:2625:32525,K00302:154:HGK25BBXY:2:2225:13626:44166,K00302:154:HGK25BBXY:2:1116:28828:43884,K00302:154:HGK25BBXY:2:1119:27803:24947,K00302:154:HGK25BBXY:2:2209:31872:45959,K00302:154:HGK25BBXY:2:1214:9343:9385,K00302:154:HGK25BBXY:2:1216:19228:29149,K00302:154:HGK25BBXY:2:2122:18517:21447,K00302:154:HGK25BBXY:2:2124:1499:38732,K00302:154:HGK25BBXY:2:2125:12875:21025,K00302:154:HGK25BBXY:2:2125:12794:22889,K00302:154:HGK25BBXY:2:2202:6593:44078,K00302:154:HGK25BBXY:2:2202:6522:44095,K00302:154:HGK25BBXY:2:2118:7131:8435,K00302:154:HGK25BBXY:2:1208:16356:37255,
chr1:8601273|8674745	chr1	8601273	8674745	16	12_13_1	77	0.294	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:2:2105:16528:26090,K00302:154:HGK25BBXY:2:1228:13281:48597,K00302:154:HGK25BBXY:2:1203:7679:11847,K00302:154:HGK25BBXY:2:1102:17127:28393,K00302:154:HGK25BBXY:2:1107:23794:31224,K00302:154:HGK25BBXY:2:2223:13748:20990,K00302:154:HGK25BBXY:2:1224:11901:5341,K00302:154:HGK25BBXY:2:1118:30969:16647,K00302:154:HGK25BBXY:2:1121:29427:5991,K00302:154:HGK25BBXY:2:1127:17655:30362,K00302:154:HGK25BBXY:2:2114:3498:1824,K00302:154:HGK25BBXY:2:2117:13484:21694,K00302:154:HGK25BBXY:2:2118:5974:26758,K00302:154:HGK25BBXY:2:2220:19177:11161,K00302:154:HGK25BBXY:2:2220:19319:11196,K00302:154:HGK25BBXY:2:1217:21339:44834,
chr1:8716032|8716500	chr1	8716032	8716500	16	15_12_0	80	0.286	exon	ENSG00000142599.18_5,	-	K00302:154:HGK25BBXY:2:2216:11495:40895,K00302:154:HGK25BBXY:2:1208:4310:27180,K00302:154:HGK25BBXY:2:1208:24129:44183,K00302:154:HGK25BBXY:2:1223:29873:41299,K00302:154:HGK25BBXY:2:1117:20344:33369,K00302:154:HGK25BBXY:2:2206:4767:29307,K00302:154:HGK25BBXY:2:2209:16589:25351,K00302:154:HGK25BBXY:2:2209:17198:25351,K00302:154:HGK25BBXY:2:1210:28544:20463,K00302:154:HGK25BBXY:2:1213:27255:32648,K00302:154:HGK25BBXY:2:1125:13880:48790,K00302:154:HGK25BBXY:2:2116:14072:44693,K00302:154:HGK25BBXY:2:2116:13910:48139,K00302:154:HGK25BBXY:2:2109:3275:9104,K00302:154:HGK25BBXY:2:2216:17300:10721,K00302:154:HGK25BBXY:2:1219:11769:22626,
