circRNA_ID	chr	circRNA_start	circRNA_end	circRNA_type	dataset
chr1:14095613|14099683	chr1	14095613	14099683	exon	GBM classical
chr1:114372214|114377615	chr1	114372214	114377615	exon	GBM classical
chr1:183083666|183084772	chr1	183083666	183084772	exon	GBM classical
chr1:202878138|202880331	chr1	202878138	202880331	exon	GBM classical
chr1:204082043|204092932	chr1	204082043	204092932	exon	GBM classical
chr1:204085635|204086835	chr1	204085635	204086835	exon	GBM classical
chr1:205156546|205156934	chr1	205156546	205156934	exon	GBM classical
chr1:224553581|224567357	chr1	224553581	224567357	intergenic_region	GBM classical
chr10:31662051|31750166	chr10	31662051	31750166	exon	GBM classical
chr11:47817629|47818900	chr11	47817629	47818900	intron	GBM classical
chr11:101936406|101936783	chr11	101936406	101936783	intron	GBM classical
chr11:120916383|120924441	chr11	120916383	120924441	exon	GBM classical
chr11:126275991|126279306	chr11	126275991	126279306	exon	GBM classical
chr12:4609304|4628046	chr12	4609304	4628046	exon	GBM classical
chr12:27802943|27820253	chr12	27802943	27820253	exon	GBM classical
chr12:110952855|111052207	chr12	110952855	111052207	intergenic_region	GBM classical
chr12:110956481|110957721	chr12	110956481	110957721	exon	GBM classical
chr13:33006926|33054774	chr13	33006926	33054774	exon	GBM classical
chr13:74980452|74980917	chr13	74980452	74980917	intergenic_region	GBM classical
chr14:103941330|103958371	chr14	103941330	103958371	exon	GBM classical
chr15:66828271|66839043	chr15	66828271	66839043	exon	GBM classical
chr15:86848143|86860220	chr15	86848143	86860220	exon	GBM classical
chr15:93510555|93510743	chr15	93510555	93510743	exon	GBM classical
chr17:65906993|65909303	chr17	65906993	65909303	exon	GBM classical
chr17:78298830|78302277	chr17	78298830	78302277	exon	GBM classical
chr18:19116003|19164401	chr18	19116003	19164401	exon	GBM classical
chr19:6110404|6176454	chr19	6110404	6176454	exon	GBM classical
chr19:9466333|9475624	chr19	9466333	9475624	exon	GBM classical
chr2:197735665|197763093	chr2	197735665	197763093	exon	GBM classical
chr2:213914437|213921823	chr2	213914437	213921823	exon	GBM classical
chr21:16386665|16417644	chr21	16386665	16417644	intron	GBM classical
chr22:32108069|32113277	chr22	32108069	32113277	exon	GBM classical
chr3:23889275|23895463	chr3	23889275	23895463	intron	GBM classical
chr3:114487946|114488354	chr3	114487946	114488354	intron	GBM classical
chr4:72120937|72263370	chr4	72120937	72263370	exon	GBM classical
chr4:114381303|114430831	chr4	114381303	114430831	exon	GBM classical
chr4:155593384|155614053	chr4	155593384	155614053	intron	GBM classical
chr4:166231705|166231902	chr4	166231705	166231902	exon	GBM classical
chr5:72151601|72179059	chr5	72151601	72179059	exon	GBM classical
chr5:74675162|74722303	chr5	74675162	74722303	exon	GBM classical
chr6:37336260|37344809	chr6	37336260	37344809	exon	GBM classical
chr7:7472104|7477093	chr7	7472104	7477093	exon	GBM classical
chr7:28527793|28610155	chr7	28527793	28610155	exon	GBM classical
chr7:54820019|54825287	chr7	54820019	54825287	exon	GBM classical
chr7:108039880|108040037	chr7	108039880	108040037	exon	GBM classical
chr7:123329096|123332921	chr7	123329096	123332921	exon	GBM classical
chr7:129019479|129053529	chr7	129019479	129053529	exon	GBM classical
chr7:129019482|129053529	chr7	129019482	129053529	exon	GBM classical
chr8:101174507|101196961	chr8	101174507	101196961	exon	GBM classical
chr8:141582911|141595410	chr8	141582911	141595410	exon	GBM classical
chrX:101892924|101894461	chrX	101892924	101894461	exon	GBM classical
chrX:149631038|149639762	chrX	149631038	149639762	exon	GBM classical
chr1:14961840|14962159	chr1	14961840	14962159	intron	GBM classical
chr1:16151769|16153982	chr1	16151769	16153982	intergenic_region	GBM classical
chr1:24976462|24978103	chr1	24976462	24978103	exon	GBM classical
chr1:78167054|78178966	chr1	78167054	78178966	exon	GBM classical
chr1:93029199|93104794	chr1	93029199	93104794	intron	GBM classical
chr1:151031955|151032249	chr1	151031955	151032249	exon	GBM classical
chr1:172109620|172113577	chr1	172109620	172113577	exon	GBM classical
chr1:192997215|192998787	chr1	192997215	192998787	exon	GBM classical
chr1:243471291|243504475	chr1	243471291	243504475	exon	GBM classical
chr10:96005703|96006378	chr10	96005703	96006378	exon	GBM classical
chr11:48142555|48146738	chr11	48142555	48146738	exon	GBM classical
chr12:13364403|13367607	chr12	13364403	13367607	exon	GBM classical
chr12:15860486|15860772	chr12	15860486	15860772	intron	GBM classical
chr12:66539621|66554952	chr12	66539621	66554952	exon	GBM classical
chr12:104409108|104411994	chr12	104409108	104411994	intron	GBM classical
chr13:33006926|33077302	chr13	33006926	33077302	intron	GBM classical
chr14:31841016|31844174	chr14	31841016	31844174	exon	GBM classical
