circBase ID,circBank ID,riboCIRC ID,riboCIRC ORF ID,ORF Length,Host_Gene,Refseq,Hg19,Hg38,Strand,GPL19978_GPL21825,GPL19978_GPL21825_Probe,Spliced Seq Length,Annotation
hsa_circ_0000002,hsa_circSDF4_003,hsa_circSDF4_001,hsa_circSDF4_001_73,74,SDF4,NM_016176,chr1:1158623-1159348,chr1:1223243-1223968,-,hsa_circRNA_100003,ASCRP3011120,251,"ANNOTATED, CDS, coding, INTERNAL"
hsa_circ_0000006,hsa_circSLC35E2B_001,N/A,N/A,N/A,SLC35E2B,NM_001110781,chr1:1601102-1666274,chr1:1669663-1734835,-,N/A,N/A,43368,"ALT_ACCEPTOR, CDS, coding, upstream_start, UTR5"
hsa_circ_0009314,hsa_circSLC35E2_006,N/A,N/A,N/A,SLC35E2,NM_182838,chr1:1666128-1671143,chr1:1734689-1739704,-,N/A,N/A,879,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0008702,hsa_circGNB1_011,N/A,N/A,N/A,GNB1,NM_002074,chr1:1747194-1770677,chr1:1815755-1839238,-,hsa_circRNA_008702,ASCRP3008887,298,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0009365,hsa_circPRKCZ_002,N/A,N/A,N/A,PRKCZ,NM_002744,chr1:2066700-2082417,chr1:2135261-2150978,+,N/A,N/A,542,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0009366,hsa_circPRKCZ_003,N/A,N/A,N/A,PRKCZ,NM_002744,chr1:2066700-2087531,chr1:2135261-2156092,+,hsa_circRNA_009366,ASCRP3003561,640,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0006354,hsa_circVAMP3_004,hsa_circVAMP3_001,hsa_circVAMP3_001_73,74,VAMP3,NM_004781,chr1:7837219-7838229,chr1:7777159-7778169,+,N/A,N/A,211,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0114230,hsa_circPER3_005,N/A,N/A,N/A,PER3,ENST00000377532.3,chr1:7895821-7897209,chr1:7835761-7837149,+,N/A,N/A,335,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0009574,hsa_circRERE_051,N/A,N/A,N/A,RERE,NM_012102,chr1:8525984-8568734,chr1:8465924-8508675,-,hsa_circRNA_100030,ASCRP3008310,373,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0009576,hsa_circRERE_037,N/A,N/A,N/A,RERE,NM_012102,chr1:8525984-8617582,chr1:8465924-8557523,-,N/A,N/A,681,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0009577,hsa_circRERE_023,N/A,N/A,N/A,RERE,NM_012102,chr1:8525984-8674745,chr1:8465924-8614686,-,hsa_circRNA_100031,ASCRP3008311,807,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0114325,hsa_circRERE_049,N/A,N/A,N/A,RERE,ENST00000377464.1,chr1:8555122-8601375,chr1:8495062-8541316,-,N/A,N/A,15832,"ALT_ACCEPTOR, CDS, coding, OVCODE, OVERLAPTX, OVEXON, upstream_start, UTR5"
