circRNA_ID	chr	circRNA_start	circRNA_end	circRNA_type	dataset
chr1:741179|745550	chr1	741179	745550	exon	GBM patients blood
chr1:743954|745550	chr1	743954	745550	exon	GBM patients blood
chr1:1158624|1159348	chr1	1158624	1159348	exon	GBM patients blood
chr1:1191425|1203372	chr1	1191425	1203372	exon	GBM patients blood
chr1:1192372|1203372	chr1	1192372	1203372	exon	GBM patients blood
chr1:1647590|1647917	chr1	1647590	1647917	intron	GBM patients blood
chr1:1647785|1653150	chr1	1647785	1653150	exon	GBM patients blood
chr1:1647785|1654270	chr1	1647785	1654270	exon	GBM patients blood
chr1:1650767|1654270	chr1	1650767	1654270	exon	GBM patients blood
chr1:1735858|1737977	chr1	1735858	1737977	exon	GBM patients blood
chr1:1735858|1747301	chr1	1735858	1747301	exon	GBM patients blood
chr1:1735858|1749314	chr1	1735858	1749314	exon	GBM patients blood
chr1:1735858|1770677	chr1	1735858	1770677	exon	GBM patients blood
chr1:1737914|1749314	chr1	1737914	1749314	exon	GBM patients blood
chr1:1737914|1770677	chr1	1737914	1770677	exon	GBM patients blood
chr1:1747195|1749314	chr1	1747195	1749314	exon	GBM patients blood
chr1:1747195|1756938	chr1	1747195	1756938	exon	GBM patients blood
chr1:1747195|1770677	chr1	1747195	1770677	exon	GBM patients blood
chr1:1747195|1784736	chr1	1747195	1784736	intron	GBM patients blood
chr1:1749276|1770677	chr1	1749276	1770677	exon	GBM patients blood
chr1:1756836|1770677	chr1	1756836	1770677	exon	GBM patients blood
chr1:1756836|1784736	chr1	1756836	1784736	intron	GBM patients blood
chr1:1770629|1784736	chr1	1770629	1784736	intron	GBM patients blood
chr1:1770629|1811341	chr1	1770629	1811341	intron	GBM patients blood
chr1:6727769|6741097	chr1	6727769	6741097	exon	GBM patients blood
chr1:6867043|6885270	chr1	6867043	6885270	exon	GBM patients blood
chr1:6867043|6948959	chr1	6867043	6948959	intron	GBM patients blood
chr1:6880241|6948959	chr1	6880241	6948959	intron	GBM patients blood
chr1:7837220|7838229	chr1	7837220	7838229	exon	GBM patients blood
chr1:8601273|8617582	chr1	8601273	8617582	exon	GBM patients blood
chr1:8601273|8674745	chr1	8601273	8674745	exon	GBM patients blood
chr1:8616534|8674745	chr1	8616534	8674745	exon	GBM patients blood
chr1:8674620|8716500	chr1	8674620	8716500	exon	GBM patients blood
chr1:8716032|8716500	chr1	8716032	8716500	exon	GBM patients blood
chr1:9117507|9129653	chr1	9117507	9129653	exon	GBM patients blood
chr1:9770163|9770654	chr1	9770163	9770654	intron	GBM patients blood
chr1:9982244|9994918	chr1	9982244	9994918	exon	GBM patients blood
chr1:9982244|9995685	chr1	9982244	9995685	exon	GBM patients blood
chr1:9991949|9994918	chr1	9991949	9994918	exon	GBM patients blood
chr1:9991949|9996685	chr1	9991949	9996685	exon	GBM patients blood
chr1:9995550|9996685	chr1	9995550	9996685	exon	GBM patients blood
chr1:10155519|10165802	chr1	10155519	10165802	exon	GBM patients blood
chr1:10407819|10408791	chr1	10407819	10408791	exon	GBM patients blood
chr1:10463128|10464336	chr1	10463128	10464336	exon	GBM patients blood
chr1:10463128|10468197	chr1	10463128	10468197	exon	GBM patients blood
chr1:10464218|10468197	chr1	10464218	10468197	exon	GBM patients blood
chr1:10464218|10473308	chr1	10464218	10473308	exon	GBM patients blood
chr1:10471475|10473308	chr1	10471475	10473308	exon	GBM patients blood
chr1:10500404|10502498	chr1	10500404	10502498	exon	GBM patients blood
chr1:11076901|11078930	chr1	11076901	11078930	exon	GBM patients blood
chr1:11130957|11137005	chr1	11130957	11137005	exon	GBM patients blood
