circRNA_ID	chr	circRNA_start	circRNA_end	circRNA_type	dataset
chr1:46093932|46126897	chr1	46093932	46126897	exon	GBM neural
chr1:53548451|53548613	chr1	53548451	53548613	intron	GBM neural
chr1:61228468|61292257	chr1	61228468	61292257	intron	GBM neural
chr1:63042933|63085664	chr1	63042933	63085664	exon	GBM neural
chr1:90744179|90790167	chr1	90744179	90790167	intergenic_region	GBM neural
chr1:100960374|100964818	chr1	100960374	100964818	exon	GBM neural
chr1:117998707|118045592	chr1	117998707	118045592	intron	GBM neural
chr1:155327107|155327540	chr1	155327107	155327540	exon	GBM neural
chr1:223987601|223991154	chr1	223987601	223991154	exon	GBM neural
chr1:229602381|229634053	chr1	229602381	229634053	exon	GBM neural
chr1:231954075|231954263	chr1	231954075	231954263	exon	GBM neural
chr10:15373206|15375567	chr10	15373206	15375567	intron	GBM neural
chr10:34661426|34759191	chr10	34661426	34759191	exon	GBM neural
chr10:70282495|70282956	chr10	70282495	70282956	intron	GBM neural
chr10:97141442|97192333	chr10	97141442	97192333	exon	GBM neural
chr10:105900600|105924058	chr10	105900600	105924058	exon	GBM neural
chr10:116975455|116980261	chr10	116975455	116980261	intron	GBM neural
chr11:45967391|45971032	chr11	45967391	45971032	exon	GBM neural
chr11:68350511|68363686	chr11	68350511	68363686	exon	GBM neural
chr11:77815026|77832220	chr11	77815026	77832220	exon	GBM neural
chr11:100730285|100792335	chr11	100730285	100792335	exon	GBM neural
chr12:80447737|80477478	chr12	80447737	80477478	intergenic_region	GBM neural
chr12:96897664|96934765	chr12	96897664	96934765	exon	GBM neural
chr12:97041653|97057710	chr12	97041653	97057710	exon	GBM neural
chr12:97082694|97102581	chr12	97082694	97102581	exon	GBM neural
chr13:42040959|42042974	chr13	42040959	42042974	exon	GBM neural
chr14:40685486|40688495	chr14	40685486	40688495	intron	GBM neural
chr15:42851537|42853600	chr15	42851537	42853600	exon	GBM neural
chr15:43122136|43132631	chr15	43122136	43132631	exon	GBM neural
chr15:49867208|49882204	chr15	49867208	49882204	exon	GBM neural
chr15:50657039|50659387	chr15	50657039	50659387	exon	GBM neural
chr15:56681516|56687032	chr15	56681516	56687032	exon	GBM neural
chr16:19234367|19236160	chr16	19234367	19236160	exon	GBM neural
chr16:47531310|47614269	chr16	47531310	47614269	exon	GBM neural
chr16:70260673|70279519	chr16	70260673	70279519	exon	GBM neural
chr17:15881114|15890682	chr17	15881114	15890682	exon	GBM neural
chr17:16216861|16221222	chr17	16216861	16221222	exon	GBM neural
chr17:27778473|27778698	chr17	27778473	27778698	exon	GBM neural
chr17:42984396|42984606	chr17	42984396	42984606	exon	GBM neural
chr17:71289290|71299211	chr17	71289290	71299211	intron	GBM neural
chr19:8604616|8604944	chr19	8604616	8604944	intron	GBM neural
chr19:53036161|53036574	chr19	53036161	53036574	intron	GBM neural
chr2:54119945|54120936	chr2	54119945	54120936	exon	GBM neural
chr2:73659257|73717285	chr2	73659257	73717285	intron	GBM neural
chr2:122363277|122392781	chr2	122363277	122392781	intron	GBM neural
chr2:152988628|152992117	chr2	152988628	152992117	exon	GBM neural
