seqnames	start	end	width	strand	CLR	lfc	pval	fdr	ENSEMBL	geneName
chr15	84228005	84257523	29519	+	0.463	-3.87240819664852	7.72181602995829e-30	1.5374135715647e-26	ENSG00000140600	SH3GL3
chr13	42742576	42764661	22086	+	0.579	-3.91350654766224	5.00405164462859e-24	4.98153341222777e-21	ENSG00000102780	DGKH
chr2	120885264	120932576	47313	+	0.545	-4.16298827354137	1.18407979496153e-23	7.85834290589465e-21	ENSG00000115109	EPB41L5
chr8	105053554	105161076	107523	+	0.802	-5.17811147696512	1.22553259318878e-21	6.10008848259716e-19	ENSG00000176406	RIMS2
chr9	77611363	77632364	21002	-	0.509	-3.56836141486481	3.40559734802988e-21	1.3561088639855e-18	ENSG00000156017	CARNMT1
chr15	72338065	72338975	911	-	0.244	-2.99419625775597	4.11157304054789e-20	1.36435698728847e-17	ENSG00000066933	MYO9A
chr6	69703660	69785930	82271	+	0.134	-3.20851559014215	2.09377300175145e-19	5.95528863783876e-17	ENSG00000135298	ADGRB3
chr20	30954187	30956926	2740	+	0.138	2.9801713911883	6.29431310452906e-19	1.56649717388967e-16	ENSG00000171456	ASXL1
chr1	227381487	227441856	60370	-	0.17	-3.61247367634418	9.61087452917481e-19	2.12613902084301e-16	ENSG00000143776	CDC42BPA
chr4	73984405	73991029	6625	-	0.459	-2.59126973753813	3.64861378436316e-18	6.6727224767749e-16	ENSG00000132466	ANKRD17
chr20	50273477	50307358	33882	-	0.09	-3.61870814183466	3.68658700374304e-18	6.6727224767749e-16	ENSG00000054793	ATP9A
chr10	117185760	117309046	123287	+	0.09	-3.40115384817345	6.57424945503973e-18	1.09077755541534e-15	ENSG00000107518	ATRNL1
chr7	122047594	122114571	66978	-	0.112	-5.11883184736165	1.00806448460052e-17	1.54388952987664e-15	ENSG00000081803	CADPS2
chr10	123596233	123683844	87612	-	0.151	-4.0596160711174	4.64937241043221e-17	6.61207176369323e-15	ENSG00000107669	ATE1
chr6	55360217	55406938	46722	-	0.514	-3.18062152640618	5.48883358558905e-17	7.28551177927187e-15	ENSG00000146151	HMGCLL1
chr2	2837025	2839371	2347	-	0.875	-4.86321142324412	1.85596097057785e-16	2.30951143276281e-14	n/a	
chr7	8257935	8275570	17636	-	0.185	-4.02038642841631	2.24102261876023e-16	2.62463296114801e-14	ENSG00000003147	ICA1
chr5	82832826	82838087	5262	+	0.634	3.87226990309874	2.92005042315852e-16	3.22990021806034e-14	ENSG00000038427	VCAN
chr13	79915258	79918929	3672	-	0.107	-3.45618924588395	3.81246883783224e-16	3.99506602953894e-14	ENSG00000139746	RBM26
chr14	61278705	61346553	67849	+	0.215	-2.5440676898431	4.41228450423944e-16	4.21680676669789e-14	ENSG00000020426	MNAT1
chr15	25511578	25524031	12454	+	0.345	-2.81928119563627	4.44766158215247e-16	4.21680676669789e-14	ENSG00000224078	
chr3	120871324	120959354	88031	+	0.161	-2.93392174224025	4.91800463231715e-16	4.45079419224702e-14	ENSG00000145087	STXBP5L
chr7	122194604	122261771	67168	-	0.04	-4.81943616031768	7.91784273584519e-16	6.85409777698598e-14	ENSG00000081803	CADPS2
chr7	121985628	122056218	70591	-	0.107	-5.49572628372464	9.0130250088434e-16	7.47705533025301e-14	ENSG00000081803	CADPS2
chr6	73005640	73043538	37899	+	0.95	-4.01669522833313	2.42043449294881e-15	1.89739110700117e-13	ENSG00000079841	RIMS1
chr6	136990421	137019820	29400	-	0.148	-2.9568002466674	2.4777583516841e-15	1.89739110700117e-13	ENSG00000197442	MAP3K5
chr5	94114815	94248681	133867	-	0.286	-2.91030178936691	3.52053062823383e-15	2.59606536326428e-13	ENSG00000175471	MCTP1
chr8	68163534	68172161	8628	-	0.263	-4.67269408716367	8.39322666948026e-15	5.96818367819114e-13	ENSG00000066777	ARFGEF1
chr8	101276262	101300495	24234	-	0.321	-4.48969718091913	8.73641741440564e-15	5.99800243864884e-13	ENSG00000034677	RNF19A
chr19	47919909	47920607	699	-	0.738	-3.86463502135284	1.11575230761888e-14	7.4048761482306e-13	ENSG00000105419	MEIS3
chr6	76344423	76380436	36014	+	0.191	-2.74760933031413	1.85184523157668e-14	1.18936253421586e-12	ENSG00000112701	SENP6
chr8	105053557	105161076	107520	+	0.222	-5.41004954149513	2.76517204394997e-14	1.67958461099855e-12	ENSG00000176406	RIMS2
chr10	61844360	61848116	3757	-	0.098	-3.35662810265422	2.78384189668268e-14	1.67958461099855e-12	ENSG00000151150	ANK3
chr2	228881122	228884872	3751	-	0.685	-4.62609881106081	3.02806851150851e-14	1.77320129600396e-12	ENSG00000153820	SPHKAP
chr18	54444013	54483375	39363	+	0.153	-2.92976767924005	3.74206275772554e-14	2.12869912875187e-12	ENSG00000091157	WDR7
chr2	7154585	7170346	15762	+	0.135	-3.83300672959351	7.22380487989884e-14	3.99516542107739e-12	ENSG00000151692	RNF144A
chr18	74561482	74583781	22300	+	0.328	-2.72236285805059	7.61759488798642e-14	4.09908957350837e-12	ENSG00000130856	ZNF236
chr5	94204038	94248681	44644	-	0.233	-3.4298788591609	8.90118187839483e-14	4.66375082102213e-12	ENSG00000175471	MCTP1
chr10	14938845	14939516	672	+	0.4	-3.88516997746512	9.27824909277805e-14	4.73666511377464e-12	ENSG00000152455	SUV39H2
chr2	107446522	107460490	13969	-	0.657	-3.29885697954121	1.02910384776632e-13	5.12236440225686e-12	ENSG00000144057	ST6GAL2
chr18	21776089	21819346	43258	-	0.176	-2.81876059653523	1.34441846725007e-13	6.44544742314311e-12	ENSG00000141447	OSBPL1A
chr6	146240484	146254314	13831	-	0.413	-2.3786726960516	1.35966243983933e-13	6.44544742314311e-12	ENSG00000146414	SHPRH
chr1	54059781	54065951	6171	-	0.706	-3.74863686325535	2.00494709572924e-13	9.28337131999282e-12	ENSG00000174332	GLIS1
chr6	56846509	56857353	10845	+	0.252	-2.56079978525875	2.72054315722485e-13	1.23104577864425e-11	ENSG00000151917	BEND6
chr15	62299507	62306191	6685	-	0.681	-2.19777475358815	3.61059131378814e-13	1.59748606794493e-11	ENSG00000129003	VPS13C
chr3	183368084	183371877	3794	+	0.223	-4.35423448459275	3.89230825058031e-13	1.68469254932726e-11	ENSG00000114796	KLHL24
chr5	127474289	127488497	14209	+	0.323	-3.23549390791037	4.47970772115923e-13	1.89768044102724e-11	ENSG00000064651	SLC12A2
chr10	90661413	90682193	20781	+	0.389	-2.41182601562517	5.24718324780759e-13	2.17648788466352e-11	ENSG00000138134	STAMBPL1
chr18	54444013	54547396	103384	+	0.092	-3.11374958712387	5.83410747237996e-13	2.35707076720048e-11	ENSG00000091157	WDR7
chr15	89656956	89698765	41810	+	0.187	-2.91032156471573	5.91931383023727e-13	2.35707076720048e-11	ENSG00000140526	ABHD2
chr8	62588699	62596747	8049	-	0.162	-2.98948703228071	6.22800193967486e-13	2.40336117891761e-11	ENSG00000198363	ASPH
chr20	34446224	34451322	5099	+	0.07	-4.82078394841305	6.27698549993549e-13	2.40336117891761e-11	ENSG00000025293	PHF20
chr16	81388010	81411307	23298	+	0.557	-3.64504220271251	6.51064062620619e-13	2.44578971448614e-11	ENSG00000261609	GAN
chr12	28458582	28544344	85763	+	0.3	-2.51871067257776	7.25548042459518e-13	2.64949255766352e-11	ENSG00000123106	CCDC91
chr15	51827860	51839605	11746	-	0.188	-3.01579258560509	7.3190402145401e-13	2.64949255766352e-11	ENSG00000104093	DMXL2
chrX	57862954	57877126	14173	-	0.706	-3.7814676449396	8.1859742828197e-13	2.91040621376679e-11	n/a	
chr14	89192885	89221015	28131	-	0.558	-3.38013660601965	9.0655165172961e-13	3.14151449265598e-11	ENSG00000165521	EML5
chr15	25284858	25287662	2805	+	0.865	-4.10350946316981	9.2568296965107e-13	3.14151449265598e-11	ENSG00000224078	
chr5	135489281	135489852	572	+	0.208	-3.24956565040234	9.30935987276256e-13	3.14151449265598e-11	ENSG00000113658	SMAD5
chr2	66510471	66512607	2137	+	1	-3.50852048134921	1.03547470718369e-12	3.43605023667121e-11	n/a	
chr3	192381864	192391059	9196	-	0.667	-2.96235336660457	1.08423088913452e-12	3.53885852502759e-11	ENSG00000114279	FGF12
chr16	7629779	7657340	27562	+	0.211	-2.77793851312584	1.20934338972663e-12	3.88355272410599e-11	ENSG00000078328	RBFOX1
chr14	61262935	61346553	83619	+	0.346	-2.66765868888484	1.23042079232433e-12	3.88852031352021e-11	ENSG00000020426	MNAT1
chr7	122255235	122269382	14148	-	0.058	-3.93606737271082	1.288954695189e-12	4.00985749706454e-11	ENSG00000081803	CADPS2
chr4	123111155	123122281	11127	+	0.058	-3.05540990817257	1.30922873165901e-12	4.010268314974e-11	ENSG00000138688	KIAA1109
chr21	38126481	38139586	13106	-	0.571	-2.76534698060784	1.43042510854841e-12	4.31511574412104e-11	ENSG00000159267	HLCS
chr6	147322577	147440613	118037	-	0.667	-3.00328920720337	1.46040078841563e-12	4.33978801453063e-11	ENSG00000233452	STXBP5-AS1
chr6	24578338	24583930	5593	-	0.111	-3.33864491450593	1.5561616731233e-12	4.55634983998309e-11	ENSG00000137261	KIAA0319
chr21	38480692	38501363	20672	+	0.4	-4.73929627557591	1.76049101940955e-12	5.07990959368755e-11	ENSG00000182670	TTC3
chr10	15863655	15889942	26288	-	0.366	-2.17816023283495	1.97053934260561e-12	5.6047769016111e-11	ENSG00000148481	MINDY3
chr3	71733723	71759635	25913	-	0.243	-2.82289891206693	2.17720290484297e-12	6.10536758245402e-11	ENSG00000163412	EIF4E3
chr14	89123720	89131833	8114	-	0.296	-4.66149543136286	2.33281801505764e-12	6.45088981663856e-11	ENSG00000165521	EML5
chr2	107446522	107450602	4081	-	0.16	-3.76218679826308	2.40420734327401e-12	6.48521320259027e-11	ENSG00000144057	ST6GAL2
chr18	76953183	77037196	84014	+	0.195	-2.78155898644801	2.41037557504611e-12	6.48521320259027e-11	ENSG00000166377	ATP9B
chr14	62436850	62463260	26411	+	0.311	-2.71927127754232	2.59378469506459e-12	6.88563377049814e-11	ENSG00000139973	SYT16
chr1	70518709	70573509	54801	+	0.294	-2.53705575225716	2.67972836021313e-12	7.02018311208466e-11	ENSG00000033122	LRRC7
chr2	61597456	61622368	24913	-	0.133	-3.11950361015912	2.86289534328962e-12	7.40262938764888e-11	ENSG00000115464	USP34
chr10	120445495	120489922	44428	-	0.37	-2.56068961599453	2.99497345903567e-12	7.64486173966668e-11	ENSG00000151893	CACUL1
chr3	183368084	183369064	981	+	0.112	-2.93908792436339	3.29594591643786e-12	8.30661812611111e-11	ENSG00000114796	KLHL24
chr7	137237115	137294355	57241	-	0.093	-2.72522217094718	3.52653729610149e-12	8.77666969567258e-11	ENSG00000157680	DGKI
chr1	229599290	229601266	1977	-	0.162	-3.02180420757457	3.99413623203689e-12	9.81768547899438e-11	ENSG00000069248	NUP133
chr10	76602358	76603236	879	+	0.367	-2.65725490825641	4.15524839339916e-12	1.00891457942168e-10	ENSG00000156650	KAT6B
chr6	138655107	138656325	1219	+	0.186	-3.84541230418725	4.26665720044974e-12	1.02348367302355e-10	ENSG00000112379	ARFGEF3
chr12	1372200	1553916	181717	+	0.111	-3.88043164290749	4.40971536379098e-12	1.04520753444141e-10	ENSG00000082805	ERC1
chr2	135624112	135626611	2500	-	0.792	-2.67227256224455	4.64517533263715e-12	1.0880640102683e-10	ENSG00000224043	
chr15	61194521	61195883	1363	-	0.917	-4.7332498690807	5.28120409377509e-12	1.2095801764747e-10	ENSG00000069667	RORA
chr5	136969726	136975666	5941	-	0.316	-2.96275883307248	5.28545833015063e-12	1.2095801764747e-10	ENSG00000146021	KLHL3
chr15	41854746	41857339	2594	+	0.415	-2.69859192171825	5.40065645555157e-12	1.22189852306854e-10	ENSG00000092445	TYRO3
chr10	66643455	66696529	53075	+	0.706	-4.07060165710953	5.5219605866137e-12	1.23530601437617e-10	n/a	
chr10	123629521	123683844	54324	-	0.238	-3.00389272840418	5.637652236671e-12	1.24717395591244e-10	ENSG00000107669	ATE1
chr3	183368084	183382827	14744	+	0.052	-2.99498437789276	6.64065783002437e-12	1.45291755379984e-10	ENSG00000114796	KLHL24
chr12	1372200	1481143	108944	+	0.14	-3.87952925932346	8.1514052923726e-12	1.76407042794716e-10	ENSG00000082805	ERC1
chr1	27056142	27059283	3142	+	0.316	2.63866164254967	8.42370591684703e-12	1.80339768606908e-10	ENSG00000117713	ARID1A
chr13	35615070	35624532	9463	+	0.119	-3.53182865200471	9.84196323896014e-12	2.08461157540102e-10	ENSG00000172915	NBEA
chr1	118413069	118463047	49979	-	0.421	-2.60248616533926	9.984236497686e-12	2.0924857754624e-10	ENSG00000196505	GDAP2
chr9	88574708	88611492	36785	+	0.333	-2.51395662500407	1.16857766253724e-11	2.42358138136629e-10	ENSG00000135040	NAA35
chr1	213251038	213341316	90279	+	0.075	-2.59824451141797	1.32957622343292e-11	2.72905800088138e-10	ENSG00000136643	RPS6KC1
chr3	3197903	3215945	18043	-	0.313	-2.94656433104519	1.59658196279466e-11	3.2436680489022e-10	ENSG00000113851	CRBN
chr3	182923664	182925611	1948	-	0.391	-2.81433969084878	1.64198283147558e-11	3.30220991663422e-10	ENSG00000053524	MCF2L2
chr10	116879949	117027921	147973	+	0.081	-3.01791602797965	1.76170640060726e-11	3.50294522406216e-10	ENSG00000107518	ATRNL1
chr6	24539164	24539908	745	-	0.96	-5.03911307596616	1.77698376509431e-11	3.50294522406216e-10	n/a	
chr7	137206612	137308300	101689	-	0.182	-3.08993840222583	2.27313999186635e-11	4.43708012137833e-10	ENSG00000157680	DGKI
chr3	121097563	121100379	2817	+	0.382	-2.90387956437289	2.43981708599766e-11	4.71619011477801e-10	ENSG00000145087	STXBP5L
chr10	74468041	74475660	7620	+	0.845	-3.66334092556247	2.5478002586227e-11	4.87756761049788e-10	ENSG00000156026	MCU
chr5	72370569	72373320	2752	+	0.345	2.05580393569012	2.68133505447172e-11	5.06566697546266e-10	ENSG00000157107	FCHO2
chr7	14517786	14712652	194867	-	0.118	-2.66187441918887	2.69693972576114e-11	5.06566697546266e-10	ENSG00000136267	DGKB
chr3	142496474	142503882	7409	+	0.212	-3.06090771212314	3.25050365948832e-11	6.04836708975818e-10	ENSG00000144935	TRPC1
chr7	8043538	8110761	67224	+	0.613	-3.16468630034071	3.62683829400386e-11	6.63206606578793e-10	ENSG00000106415	GLCCI1
chr6	131919427	131929211	9785	-	0.533	-2.99509050871732	3.63081467187787e-11	6.63206606578793e-10	ENSG00000112282	MED23
chr12	79679567	79693331	13765	+	0.033	-2.78453942954595	4.23535708152669e-11	7.66599631756332e-10	ENSG00000067715	SYT1
chr6	126314903	126334247	19345	+	0.414	-2.93253343316701	4.28111220772167e-11	7.67900396898544e-10	ENSG00000066651	TRMT11
chr13	111857636	111885640	28005	+	0.091	-2.93703651558779	4.6226278264137e-11	8.21754643070507e-10	ENSG00000102606	ARHGEF7
chr2	32602656	32641231	38576	+	0.2	-3.61593486604971	5.86916008404169e-11	1.03411484312628e-09	ENSG00000115760	BIRC6
chr7	103801520	103844682	43163	-	0.343	-3.283395129399	6.25024491812766e-11	1.09159979228001e-09	ENSG00000164815	ORC5
chr15	54586093	54630687	44595	+	0.187	-3.58478410075626	7.81333750935988e-11	1.35272652009874e-09	ENSG00000137766	UNC13C
chr1	243727022	243859018	131997	-	0.017	-3.1654942505615	7.96283639951189e-11	1.36672476477829e-09	ENSG00000117020	AKT3
chr1	70518709	70555502	36794	+	0.211	-2.52866770194877	8.26834384935547e-11	1.40703184650143e-09	ENSG00000033122	LRRC7
chrX	133607389	133632466	25078	+	0.133	-3.22901706048458	8.35575119153822e-11	1.40985598494514e-09	ENSG00000165704	HPRT1
chr11	115080294	115111140	30847	-	0.72	7.87275463944184	8.89652341469254e-11	1.48848555618931e-09	ENSG00000182985	CADM1
chr7	122076414	122114571	38158	-	0.074	-3.6568258489121	9.16415901048048e-11	1.50795224506676e-09	ENSG00000081803	CADPS2
chr2	180815239	180815653	415	-	0.392	-2.64136719836781	9.1643506606267e-11	1.50795224506676e-09	ENSG00000163510	CWC22
chr7	122019422	122056218	36797	-	0.067	-3.62838846115998	9.46482091629741e-11	1.54462774134001e-09	ENSG00000081803	CADPS2
chr6	99912480	99958106	45627	-	0.322	-4.99467504120437	1.02808316598942e-10	1.6641573849471e-09	ENSG00000123552	USP45
chr6	69758077	69785930	27854	+	0.068	-2.72782440351039	1.08840025586457e-10	1.74758460437609e-09	ENSG00000135298	ADGRB3
chr13	35615070	35633000	17931	+	0.143	-3.10177425455462	1.14982440730011e-10	1.8273879289608e-09	ENSG00000172915	NBEA
chr6	89554076	89601634	47559	-	0.25	-3.66269066049404	1.15645845830769e-10	1.8273879289608e-09	ENSG00000111880	RNGTT
chr13	21006241	21063635	57395	-	0.154	-2.76208571385417	1.1736346527731e-10	1.83992645170964e-09	ENSG00000165475	CRYL1
chr6	82923944	82924546	603	-	0.485	-2.05997960980055	1.20982118645577e-10	1.88183904861987e-09	ENSG00000005700	IBTK
chr14	66082696	66096324	13629	+	0.184	-2.26825907968882	1.25970481926671e-10	1.94424208927133e-09	ENSG00000033170	FUT8
chr3	145838899	145842016	3118	-	0.242	2.7819306395498	1.32115469322353e-10	2.02339922631388e-09	ENSG00000152952	PLOD2
chrX	134679348	134683730	4383	+	0.8	-3.32042341667568	1.38004846115463e-10	2.09746296653349e-09	ENSG00000165359	INTS6L
chr9	14639894	14674383	34490	-	0.169	-2.64065474787597	1.60604772249737e-10	2.42245531476686e-09	ENSG00000175893	ZDHHC21
chr20	50290692	50307358	16667	-	0.076	-2.29482924726634	1.67104239709747e-10	2.50153790422636e-09	ENSG00000054793	ATP9A
chr9	129154345	129184227	29883	+	0.136	-2.38983639114119	1.76063246300045e-10	2.61598450286111e-09	ENSG00000196814	MVB12B
chr1	8525985	8617582	91598	-	0.216	-3.3225262553327	1.87518515827104e-10	2.76555085193899e-09	ENSG00000142599	RERE
chr7	14712554	14775819	63266	-	0.155	-2.57084373615201	2.15241054730752e-10	3.15106573506564e-09	ENSG00000136267	DGKB
chr2	120885264	120932580	47317	+	0.867	-3.88635880047431	2.42553089564532e-10	3.52498687097068e-09	ENSG00000115109	EPB41L5
chr4	62775278	62813994	38717	+	0.184	-2.4008461913804	2.5267522316596e-10	3.64548093712627e-09	ENSG00000150471	ADGRL3
chr9	20923659	20933102	9444	+	0.262	-2.64116862335203	2.59350556311443e-10	3.71487019867686e-09	ENSG00000188352	FOCAD
chr2	203419975	203421254	1280	+	0.048	-2.18070043980093	2.74988827401352e-10	3.91073396682922e-09	ENSG00000204217	BMPR2
chr9	21476898	21477291	394	-	0.878	-3.25279101435741	2.97447107468156e-10	4.20012192176666e-09	ENSG00000171889	MIR31HG
chr7	152480272	152522207	41936	+	0.214	-2.37547005969021	3.26618999942769e-10	4.57956640060601e-09	ENSG00000133627	ACTR3B
chr6	89554076	89614674	60599	-	0.217	-3.89746063887933	3.49872351760666e-10	4.87129966682158e-09	ENSG00000111880	RNGTT
chr20	9538255	9547031	8777	-	0.414	-2.79910871505757	3.67394908446323e-10	5.0797448799766e-09	ENSG00000101349	PAK5
chr1	16891302	16893846	2545	-	0.687	8.33341606336043	3.75418935073682e-10	5.15489034297725e-09	ENSG00000219481	NBPF1
