seqnames	start	end	width	strand	CLR	lfc	pval	fdr	ENSEMBL	geneName
chr13	101997617	102051516	53900	-	0.105	5.68735853254724	6.8360609697226e-09	2.76112904242032e-06	ENSG00000102452	NALCN
chr6	170846322	170858201	11880	-	0.045	3.95549477857441	9.7372989838415e-09	2.76112904242032e-06	ENSG00000008018	PSMB1
chr3	183368084	183390272	22189	+	0.103	4.6055761859773	1.06470271558624e-08	2.76112904242032e-06	ENSG00000114796	KLHL24
chr2	120885264	120932580	47317	+	0.222	4.61707093463877	2.95030134170181e-08	5.04834435827152e-06	ENSG00000115109	EPB41L5
chr3	183361268	183390272	29005	+	0.136	3.83319274002108	3.62363811244497e-08	5.04834435827152e-06	ENSG00000114796	KLHL24
chr3	27420740	27465643	44904	-	0.105	4.70966450751909	3.89332469789577e-08	5.04834435827152e-06	ENSG00000033867	SLC4A7
chr8	142264088	142264728	641	-	1	3.06347447516957	1.64285171391256e-07	1.82591233346282e-05	ENSG00000022567	SLC45A4
chr6	62362160	62407158	44999	-	0.909	4.92823088099247	1.99074328002607e-07	1.93599783982536e-05	n/a	
chr6	54013854	54067031	53178	+	0.4	5.16636144243041	3.2608413551736e-07	2.81881619369451e-05	ENSG00000146147	MLIP
chr12	1399018	1481143	82126	+	0.091	3.4319301201601	3.84713351803992e-07	2.99306987703506e-05	ENSG00000082805	ERC1
chr9	88190230	88248289	58060	-	0.171	4.06387935054319	8.13574319965097e-07	5.71872501760754e-05	ENSG00000135049	AGTPBP1
chr11	58317259	58318705	1447	-	0.357	4.60223770555904	8.82065555415045e-07	5.71872501760754e-05	ENSG00000110031	LPXN
chr5	113740135	113740553	419	+	0.769	3.68151697280742	1.30918180989926e-06	7.83494960078175e-05	ENSG00000080709	KCNN2
chr2	2840691	2842060	1370	-	0.316	5.68943433507034	1.63559672653683e-06	8.49898599366372e-05	ENSG00000237720	
chr12	1399018	1519619	120602	+	0.177	5.42117329528976	1.6386219782128e-06	8.49898599366372e-05	ENSG00000082805	ERC1
chr10	116879949	116931050	51102	+	0.32	3.14811379241512	2.04734944036587e-06	9.95523665377906e-05	ENSG00000107518	ATRNL1
chr7	82763566	82764972	1407	-	0.364	3.746826896094	2.55914866570403e-06	0.000117118685995161	ENSG00000186472	PCLO
chr6	54013854	54095715	81862	+	0.571	5.32118537809735	3.0454718683779e-06	0.000131632061866556	ENSG00000146147	MLIP
