seqnames	start	end	width	strand	CLR	lfc	pval	fdr	ENSEMBL	geneName
chr13	110827687	110829071	1385	-	0.053	8.00650726971211	1.33329835036367e-06	0.000651961516481557	ENSG00000187498	COL4A1
chr7	94047043	94049596	2554	-	0.021	7.84055066409717	1.67599361563382e-06	0.000651961516481557	ENSG00000164692	COL1A2
chr11	120916383	120930794	14412	+	0.167	-2.61829687394481	5.2297334692482e-05	0.0130696575329787	ENSG00000154114	TBCEL
chr8	105080740	105161076	80337	+	1	-5.92196377744715	6.71961826888366e-05	0.0130696575329787	ENSG00000176406	RIMS2
chr3	171965323	171969331	4009	+	0.429	1.32168428604336	0.000254304492228056	0.0395697789906855	ENSG00000075420	FNDC3B
chr20	34309662	34313077	3416	-	0.125	-4.57441018012952	0.000377025749530081	0.0448544128052087	ENSG00000131051	RBM39
chr5	72370569	72373320	2752	+	0.435	1.29570056130766	0.000403574408273086	0.0448544128052087	ENSG00000157107	FCHO2
chr12	69644909	69656342	11434	+	0.055	3.24373043710826	0.00056449641283445	0.0496343163894537	ENSG00000111605	CPSF6
chr3	56694759	56707753	12995	-	0.19	-2.48297184400391	0.000636478519547534	0.0496343163894537	ENSG00000163946	TASOR
chr17	28011581	28030080	18500	-	0.19	2.13878847746416	0.000637973218373441	0.0496343163894537	ENSG00000141298	SSH2
