circRNA_ID	chr	circRNA_start	circRNA_end	circRNA_type	dataset
chr1:9119725|9121568	chr1	9119725	9121568	intron	GBM mesenchymal
chr1:38327365|38335233	chr1	38327365	38335233	intron	GBM mesenchymal
chr1:219366472|219385094	chr1	219366472	219385094	exon	GBM mesenchymal
chr1:223073123|223116674	chr1	223073123	223116674	intron	GBM mesenchymal
chr10:3160974|3162236	chr10	3160974	3162236	exon	GBM mesenchymal
chr10:75156277|75160615	chr10	75156277	75160615	exon	GBM mesenchymal
chr10:94700484|94708136	chr10	94700484	94708136	exon	GBM mesenchymal
chr10:121275021|121286936	chr10	121275021	121286936	exon	GBM mesenchymal
chr11:29404803|29405659	chr11	29404803	29405659	intron	GBM mesenchymal
chr11:35250884|35251180	chr11	35250884	35251180	exon	GBM mesenchymal
chr11:118626969|118629611	chr11	118626969	118629611	exon	GBM mesenchymal
chr12:9251977|9333728	chr12	9251977	9333728	intergenic_region	GBM mesenchymal
chr12:46339032|46357971	chr12	46339032	46357971	exon	GBM mesenchymal
chr12:56182859|56189860	chr12	56182859	56189860	exon	GBM mesenchymal
chr12:57928839|57929628	chr12	57928839	57929628	exon	GBM mesenchymal
chr12:112937421|112939147	chr12	112937421	112939147	intron	GBM mesenchymal
chr12:121614950|121615249	chr12	121614950	121615249	exon	GBM mesenchymal
chr13:53007797|53009017	chr13	53007797	53009017	exon	GBM mesenchymal
chr15:29362771|29362916	chr15	29362771	29362916	intron	GBM mesenchymal
chr15:34134065|34137263	chr15	34134065	34137263	exon	GBM mesenchymal
chr15:44046022|44048964	chr15	44046022	44048964	exon	GBM mesenchymal
chr15:44898223|44900803	chr15	44898223	44900803	exon	GBM mesenchymal
chr15:100778356|100779029	chr15	100778356	100779029	intron	GBM mesenchymal
chr17:25630393|25637200	chr17	25630393	25637200	exon	GBM mesenchymal
chr17:42984396|42984702	chr17	42984396	42984702	exon	GBM mesenchymal
chr18:59739906|59770135	chr18	59739906	59770135	exon	GBM mesenchymal
chr18:67613970|67614669	chr18	67613970	67614669	exon	GBM mesenchymal
chr19:1791749|1792134	chr19	1791749	1792134	exon	GBM mesenchymal
chr19:8538548|8539128	chr19	8538548	8539128	exon	GBM mesenchymal
chr19:10883155|10887892	chr19	10883155	10887892	exon	GBM mesenchymal
chr19:17265683|17266093	chr19	17265683	17266093	intron	GBM mesenchymal
chr19:55086198|55143238	chr19	55086198	55143238	intergenic_region	GBM mesenchymal
chr2:26350013|26350820	chr2	26350013	26350820	exon	GBM mesenchymal
chr20:30995517|30997431	chr20	30995517	30997431	intron	GBM mesenchymal
chr22:20009865|20011660	chr22	20009865	20011660	intron	GBM mesenchymal
chr22:46572650|46594488	chr22	46572650	46594488	exon	GBM mesenchymal
chr3:32757717|32758729	chr3	32757717	32758729	exon	GBM mesenchymal
chr3:41265512|41278200	chr3	41265512	41278200	exon	GBM mesenchymal
chr3:121366166|121376199	chr3	121366166	121376199	exon	GBM mesenchymal
chr4:38828306|38831158	chr4	38828306	38831158	exon	GBM mesenchymal
chr4:149398525|149465736	chr4	149398525	149465736	intergenic_region	GBM mesenchymal
chr5:52157281|52161651	chr5	52157281	52161651	exon	GBM mesenchymal
chr5:109152974|109178162	chr5	109152974	109178162	exon	GBM mesenchymal
chr6:56466241|56479282	chr6	56466241	56479282	exon	GBM mesenchymal
chr6:144843116|144844324	chr6	144843116	144844324	exon	GBM mesenchymal
chr7:12668726|12680142	chr7	12668726	12680142	exon	GBM mesenchymal
chr7:90492490|90585132	chr7	90492490	90585132	exon	GBM mesenchymal
chr7:98988516|98988876	chr7	98988516	98988876	exon	GBM mesenchymal
chr7:102114808|102207530	chr7	102114808	102207530	intergenic_region	GBM mesenchymal
chr7:121568210|121651363	chr7	121568210	121651363	exon	GBM mesenchymal
chr7:128220053|128232071	chr7	128220053	128232071	exon	GBM mesenchymal
chr8:38947566|38948865	chr8	38947566	38948865	exon	GBM mesenchymal
chr9:325671|340321	chr9	325671	340321	exon	GBM mesenchymal
chr9:6493826|6500709	chr9	6493826	6500709	exon	GBM mesenchymal
chr9:26861064|26884883	chr9	26861064	26884883	exon	GBM mesenchymal
chr9:88918001|88920154	chr9	88918001	88920154	exon	GBM mesenchymal
chr9:114842354|114860942	chr9	114842354	114860942	exon	GBM mesenchymal
chrX:1395545|1395717	chrX	1395545	1395717	intron	GBM mesenchymal
chr1:1417518|1454370	chr1	1417518	1454370	intergenic_region	GBM mesenchymal
chr1:15768943|15770050	chr1	15768943	15770050	exon	GBM mesenchymal
chr1:29088812|29090062	chr1	29088812	29090062	intron	GBM mesenchymal
chr1:29474592|29475738	chr1	29474592	29475738	exon	GBM mesenchymal
chr1:32697345|32697785	chr1	32697345	32697785	exon	GBM mesenchymal
chr1:39752958|39753234	chr1	39752958	39753234	exon	GBM mesenchymal
chr1:41514362|41541123	chr1	41514362	41541123	exon	GBM mesenchymal
chr1:51829538|51831701	chr1	51829538	51831701	exon	GBM mesenchymal
chr1:54273329|54291609	chr1	54273329	54291609	exon	GBM mesenchymal
chr1:110217369|110233186	chr1	110217369	110233186	intron	GBM mesenchymal
chr1:114372214|114377061	chr1	114372214	114377061	exon	GBM mesenchymal
chr10:70085239|70090412	chr10	70085239	70090412	intron	GBM mesenchymal
chr10:72462068|72468534	chr10	72462068	72468534	exon	GBM mesenchymal
chr11:8832794|8860897	chr11	8832794	8860897	exon	GBM mesenchymal
chr11:9416999|9417736	chr11	9416999	9417736	intron	GBM mesenchymal
chr11:62303417|62304039	chr11	62303417	62304039	exon	GBM mesenchymal
chr11:65270588|65272490	chr11	65270588	65272490	exon	GBM mesenchymal
chr11:74554395|74559507	chr11	74554395	74559507	exon	GBM mesenchymal
chr11:89155070|89185063	chr11	89155070	89185063	exon	GBM mesenchymal
chr12:42958285|42961595	chr12	42958285	42961595	intron	GBM mesenchymal
chr12:44238427|44338145	chr12	44238427	44338145	exon	GBM mesenchymal
chr12:99071203|99080651	chr12	99071203	99080651	exon	GBM mesenchymal
chr12:122218778|122219098	chr12	122218778	122219098	exon	GBM mesenchymal
chr13:45985497|45986073	chr13	45985497	45986073	exon	GBM mesenchymal
chr13:110827687|110829071	chr13	110827687	110829071	exon	GBM mesenchymal
chr13:110828973|110829253	chr13	110828973	110829253	exon	GBM mesenchymal
chr14:68166732|68197649	chr14	68166732	68197649	intergenic_region	GBM mesenchymal
chr14:73576409|73577231	chr14	73576409	73577231	intron	GBM mesenchymal
chr14:75016566|75022396	chr14	75016566	75022396	exon	GBM mesenchymal
chr14:106610727|106721319	chr14	106610727	106721319	intergenic_region	GBM mesenchymal
chr14:106692079|106845627	chr14	106692079	106845627	intergenic_region	GBM mesenchymal
chr15:41364047|41366763	chr15	41364047	41366763	exon	GBM mesenchymal
chr15:44411102|44419973	chr15	44411102	44419973	intron	GBM mesenchymal
chr16:27445668|27449008	chr16	27445668	27449008	exon	GBM mesenchymal
chr16:28499912|28500707	chr16	28499912	28500707	exon	GBM mesenchymal
chr16:53288434|53289557	chr16	53288434	53289557	exon	GBM mesenchymal
chr16:75188030|75188790	chr16	75188030	75188790	intron	GBM mesenchymal
chr17:57987923|58022879	chr17	57987923	58022879	exon	GBM mesenchymal
chr17:78237373|78247203	chr17	78237373	78247203	exon	GBM mesenchymal
chr18:48453980|48454710	chr18	48453980	48454710	intron	GBM mesenchymal
chr19:10103503|10104482	chr19	10103503	10104482	exon	GBM mesenchymal
chr19:11289021|11289396	chr19	11289021	11289396	exon	GBM mesenchymal
chr19:14023136|14024451	chr19	14023136	14024451	exon	GBM mesenchymal
chr19:14854232|14854596	chr19	14854232	14854596	exon	GBM mesenchymal
chr19:15295106|15296490	chr19	15295106	15296490	exon	GBM mesenchymal
chr19:17465956|17466281	chr19	17465956	17466281	intron	GBM mesenchymal
chr19:52403346|52521747	chr19	52403346	52521747	intergenic_region	GBM mesenchymal
chr19:54784318|54823640	chr19	54784318	54823640	intergenic_region	GBM mesenchymal
chr19:55105906|55142558	chr19	55105906	55142558	intergenic_region	GBM mesenchymal
chr19:55107244|55143688	chr19	55107244	55143688	intergenic_region	GBM mesenchymal
chr2:40760329|40785593	chr2	40760329	40785593	intron	GBM mesenchymal
chr2:203959755|203960596	chr2	203959755	203960596	intron	GBM mesenchymal
chr2:238256450|238262046	chr2	238256450	238262046	exon	GBM mesenchymal
chr2:242541311|242542494	chr2	242541311	242542494	exon	GBM mesenchymal
chr20:3199163|3199640	chr20	3199163	3199640	exon	GBM mesenchymal
chr20:50133323|50140649	chr20	50133323	50140649	exon	GBM mesenchymal
chr21:42545596|42546151	chr21	42545596	42546151	intron	GBM mesenchymal
chr22:25363868|25375411	chr22	25363868	25375411	intron	GBM mesenchymal
chr22:29090020|29091861	chr22	29090020	29091861	exon	GBM mesenchymal
chr22:50899115|50899662	chr22	50899115	50899662	exon	GBM mesenchymal
chr3:15073886|15076316	chr3	15073886	15076316	exon	GBM mesenchymal
chr3:27423359|27423850	chr3	27423359	27423850	intron	GBM mesenchymal
chr3:50142510|50143142	chr3	50142510	50143142	exon	GBM mesenchymal
chr3:195785155|195787118	chr3	195785155	195787118	exon	GBM mesenchymal
chr4:26741486|26766359	chr4	26741486	26766359	intergenic_region	GBM mesenchymal
chr4:79780738|79786874	chr4	79780738	79786874	exon	GBM mesenchymal
chr4:87718027|87720357	chr4	87718027	87720357	exon	GBM mesenchymal
chr4:103635595|103675152	chr4	103635595	103675152	exon	GBM mesenchymal
chr4:122760786|122776716	chr4	122760786	122776716	exon	GBM mesenchymal
chr4:146744574|146779620	chr4	146744574	146779620	intron	GBM mesenchymal
chr5:130766552|130778230	chr5	130766552	130778230	exon	GBM mesenchymal
chr5:137013234|137045545	chr5	137013234	137045545	exon	GBM mesenchymal
