circBase ID,circBank ID,riboCIRC ID,riboCIRC ORF ID,ORF Length,Host_Gene,Refseq,Hg19,Hg38,Strand,GPL19978_GPL21825,GPL19978_GPL21825_Probe,Spliced Seq Length,Annotation
hsa_circ_0002333,hsa_circTCONS_l2_00000968_001,N/A,N/A,N/A,TCONS_l2_00000968,TCONS_l2_00000968,chr1:741178-745550,chr1:805798-810170,-,N/A,N/A,247,"ALT_ACCEPTOR, INTERNAL, ncRNA, OVERLAPTX, OVEXON"
hsa_circ_0000002,hsa_circSDF4_003,hsa_circSDF4_001,hsa_circSDF4_001_73,74,SDF4,NM_016176,chr1:1158623-1159348,chr1:1223243-1223968,-,hsa_circRNA_100003,ASCRP3011120,251,"ANNOTATED, CDS, coding, INTERNAL"
hsa_circ_0009246,hsa_circUBE2J2_006,hsa_circUBE2J2_001,hsa_circUBE2J2_001_136,137,UBE2J2,NM_194458,chr1:1191424-1203372,chr1:1256044-1267992,-,hsa_circRNA_009246,ASCRP3010139,624,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5"
hsa_circ_0008063,hsa_circUBE2J2_010,N/A,N/A,N/A,UBE2J2,NM_194458,chr1:1192371-1192690,chr1:1256991-1257310,-,hsa_circRNA_100005,ASCRP3009570,242,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0000006,hsa_circSLC35E2B_001,N/A,N/A,N/A,SLC35E2B,NM_001110781,chr1:1601102-1666274,chr1:1669663-1734835,-,N/A,N/A,43368,"ALT_ACCEPTOR, CDS, coding, upstream_start, UTR5"
hsa_circ_0000007,hsa_circGNB1_039,N/A,N/A,N/A,GNB1,NM_002074,chr1:1735857-1737977,chr1:1804418-1806538,-,hsa_circRNA_100011,ASCRP3008272,227,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0009353,hsa_circGNB1_028,N/A,N/A,N/A,GNB1,NM_002074,chr1:1735857-1749314,chr1:1804418-1817875,-,hsa_circRNA_100012,ASCRP3010152,373,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0006869,hsa_circGNB1_021,N/A,N/A,N/A,GNB1,NM_002074,chr1:1735857-1756938,chr1:1804418-1825499,-,hsa_circRNA_100013,ASCRP3009403,476,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0005907,hsa_circGNB1_013,N/A,N/A,N/A,GNB1,NM_002074,chr1:1735857-1770677,chr1:1804418-1839238,-,hsa_circRNA_100014,ASCRP3008940,525,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0009357,hsa_circGNB1_027,N/A,N/A,N/A,GNB1,NM_002074,chr1:1737913-1749314,chr1:1806474-1817875,-,hsa_circRNA_100015,ASCRP3008700,210,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0009358,hsa_circGNB1_012,N/A,N/A,N/A,GNB1,NM_002074,chr1:1737913-1770677,chr1:1806474-1839238,-,N/A,N/A,362,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0009360,hsa_circGNB1_026,N/A,N/A,N/A,GNB1,NM_002074,chr1:1747194-1749314,chr1:1815755-1817875,-,hsa_circRNA_100016,ASCRP3003010,146,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0000008,hsa_circGNB1_019,N/A,N/A,N/A,GNB1,NM_002074,chr1:1747194-1756938,chr1:1815755-1825499,-,hsa_circRNA_100017,ASCRP3004131,249,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0008702,hsa_circGNB1_011,N/A,N/A,N/A,GNB1,NM_002074,chr1:1747194-1770677,chr1:1815755-1839238,-,hsa_circRNA_008702,ASCRP3008887,298,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0111235,hsa_circGNB1_005,N/A,N/A,N/A,GNB1,NM_002074,chr1:1747194-1811341,chr1:1815755-1879902,-,N/A,N/A,40962,"ALT_ACCEPTOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON, UTR5"
hsa_circ_0009361,hsa_circGNB1_010,N/A,N/A,N/A,GNB1,NM_002074,chr1:1749275-1770677,chr1:1817836-1839238,-,hsa_circRNA_100018,ASCRP3000217,191,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0009362,hsa_circGNB1_009,N/A,N/A,N/A,GNB1,NM_002074,chr1:1756835-1770677,chr1:1825396-1839238,-,hsa_circRNA_100019,ASCRP3004489,152,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0111249,hsa_circGNB1_004,N/A,N/A,N/A,GNB1,NM_002074,chr1:1756835-1811341,chr1:1825396-1879902,-,N/A,N/A,40816,"ALT_ACCEPTOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON, UTR5"
hsa_circ_0009428,hsa_circCEP104_013,N/A,N/A,N/A,CEP104,NM_014704,chr1:3747609-3754083,chr1:3831045-3837519,-,N/A,N/A,945,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0009435,hsa_circCEP104_007,N/A,N/A,N/A,CEP104,NM_014704,chr1:3761470-3764177,chr1:3844906-3847613,-,hsa_circRNA_009435,ASCRP3010826,279,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0008737,hsa_circCAMTA1_001,N/A,N/A,N/A,CAMTA1,NM_015215,chr1:6867042-6885270,chr1:6806982-6825210,+,N/A,N/A,13387,"ALT_ACCEPTOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON"
hsa_circ_0002975,hsa_circCAMTA1_007,N/A,N/A,N/A,CAMTA1,NM_001242701,chr1:6880240-6948959,chr1:6820180-6888899,+,N/A,N/A,1435,"ALT_DONOR, CDS, coding, downstream_end, OVCODE, OVEXON, UTR3"
hsa_circ_0006354,hsa_circVAMP3_004,hsa_circVAMP3_001,hsa_circVAMP3_001_73,74,VAMP3,NM_004781,chr1:7837219-7838229,chr1:7777159-7778169,+,N/A,N/A,211,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0009580,hsa_circRERE_050,N/A,N/A,N/A,RERE,NM_012102,chr1:8555122-8568734,chr1:8495062-8508675,-,hsa_circRNA_100032,ASCRP3008616,274,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0114325,hsa_circRERE_049,N/A,N/A,N/A,RERE,ENST00000377464.1,chr1:8555122-8601375,chr1:8495062-8541316,-,N/A,N/A,15832,"ALT_ACCEPTOR, CDS, coding, OVCODE, OVERLAPTX, OVEXON, upstream_start, UTR5"
hsa_circ_0009581,hsa_circRERE_046,N/A,N/A,N/A,RERE,NM_012102,chr1:8555122-8601377,chr1:8495062-8541318,-,hsa_circRNA_100033,ASCRP3001057,379,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0114339,hsa_circRERE_040,hsa_circRERE_001,hsa_circRERE_001_103,104,RERE,NM_012102,chr1:8601272-8617580,chr1:8541213-8557521,-,N/A,N/A,306,"ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0002158,hsa_circRERE_033,hsa_circRERE_001,hsa_circRERE_001_103,104,RERE,NM_012102,chr1:8601272-8617582,chr1:8541213-8557523,-,hsa_circRNA_100037,ASCRP3006510,308,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0008501,hsa_circRERE_019,N/A,N/A,N/A,RERE,NM_012102,chr1:8601272-8674745,chr1:8541213-8614686,-,hsa_circRNA_100038,ASCRP3011309,434,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0114342,hsa_circRERE_012,N/A,N/A,N/A,RERE,NM_012102,chr1:8601272-8684439,chr1:8541213-8624380,-,N/A,N/A,505,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON"
hsa_circ_0009594,hsa_circRERE_010,N/A,N/A,N/A,RERE,NM_012102,chr1:8674619-8684439,chr1:8614560-8624380,-,hsa_circRNA_100040,ASCRP3009114,197,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0114356,hsa_circRERE_004,N/A,N/A,N/A,RERE,NM_012102,chr1:8716031-8716500,chr1:8655972-8656441,-,N/A,N/A,469,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0114653,hsa_circLZIC_006,N/A,N/A,N/A,LZIC,ENST00000377223.1,chr1:9982243-9994918,chr1:9922185-9934860,-,N/A,N/A,8549,"ALT_DONOR, CDS, coding, downstream_end, OVCODE, OVERLAPTX, OVEXON, UTR3"
hsa_circ_0000014,hsa_circLZIC_005,hsa_circLZIC_001,hsa_circLZIC_001_126,127,LZIC,NM_032368,chr1:9991948-9994918,chr1:9931890-9934860,-,hsa_circRNA_100046,ASCRP3013439,277,"ANNOTATED, CDS, coding, INTERNAL"
hsa_circ_0000014,hsa_circLZIC_005,hsa_circLZIC_001,hsa_circLZIC_001_69,70,LZIC,NM_032368,chr1:9991948-9994918,chr1:9931890-9934860,-,hsa_circRNA_100046,ASCRP3013439,277,"ANNOTATED, CDS, coding, INTERNAL"
hsa_circ_0007803,hsa_circLZIC_004,hsa_circLZIC_002,hsa_circLZIC_002_127,128,LZIC,NM_032368,chr1:9991948-9995685,chr1:9931890-9935627,-,hsa_circRNA_007803,ASCRP3008953,413,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0007803,hsa_circLZIC_004,hsa_circLZIC_002,hsa_circLZIC_002_27,28,LZIC,NM_032368,chr1:9991948-9995685,chr1:9931890-9935627,-,hsa_circRNA_007803,ASCRP3008953,413,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0114654,hsa_circLZIC_003,N/A,N/A,N/A,LZIC,ENST00000377223.1,chr1:9991948-9996685,chr1:9931890-9936627,-,N/A,N/A,522,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5"
hsa_circ_0114656,hsa_circLZIC_002,N/A,N/A,N/A,LZIC,ENST00000377223.1,chr1:9994819-9996685,chr1:9934761-9936627,-,N/A,N/A,344,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0114657,hsa_circLZIC_001,N/A,N/A,N/A,LZIC,ENST00000377223.1,chr1:9995549-9996685,chr1:9935491-9936627,-,N/A,N/A,245,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0110116,hsa_circNMNAT1_001,N/A,N/A,N/A,NMNAT1,ENST00000377205.1,chr1:10032075-10041228,chr1:9972017-9981170,+,N/A,N/A,495,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5"
hsa_circ_0009682,hsa_circRBP7_001,N/A,N/A,N/A,RBP7,NM_052960,chr1:10067627-10068332,chr1:10007569-10008274,+,N/A,N/A,281,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0006955,hsa_circUBE4B_029,N/A,N/A,N/A,UBE4B,NM_001105562,chr1:10195045-10197263,chr1:10134987-10137205,+,N/A,N/A,338,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0110199,hsa_circUBE4B_033,N/A,N/A,N/A,UBE4B,NM_001105562,chr1:10204997-10211619,chr1:10144939-10151561,+,N/A,N/A,563,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
hsa_circ_0009700,hsa_circUBE4B_037,N/A,N/A,N/A,UBE4B,NM_001105562,chr1:10209241-10211619,chr1:10149183-10151561,+,N/A,N/A,335,"ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON"
