circRNA_ID	chr	circRNA_start	circRNA_end	circRNA_type	dataset
chr1:741179|745550	chr1	741179	745550	exon	healthy donors blood
chr1:743954|745550	chr1	743954	745550	exon	healthy donors blood
chr1:1158624|1159348	chr1	1158624	1159348	exon	healthy donors blood
chr1:1191425|1203372	chr1	1191425	1203372	exon	healthy donors blood
chr1:1192372|1192690	chr1	1192372	1192690	exon	healthy donors blood
chr1:1584361|1647917	chr1	1584361	1647917	intergenic_region	healthy donors blood
chr1:1601103|1666274	chr1	1601103	1666274	intergenic_region	healthy donors blood
chr1:1647785|1650894	chr1	1647785	1650894	exon	healthy donors blood
chr1:1647785|1654270	chr1	1647785	1654270	exon	healthy donors blood
chr1:1650767|1654270	chr1	1650767	1654270	exon	healthy donors blood
chr1:1653035|1654270	chr1	1653035	1654270	exon	healthy donors blood
chr1:1735858|1737977	chr1	1735858	1737977	exon	healthy donors blood
chr1:1735858|1749314	chr1	1735858	1749314	exon	healthy donors blood
chr1:1735858|1756938	chr1	1735858	1756938	exon	healthy donors blood
chr1:1735858|1770677	chr1	1735858	1770677	exon	healthy donors blood
chr1:1737914|1749314	chr1	1737914	1749314	exon	healthy donors blood
chr1:1737914|1770677	chr1	1737914	1770677	exon	healthy donors blood
chr1:1747195|1749314	chr1	1747195	1749314	exon	healthy donors blood
chr1:1747195|1756938	chr1	1747195	1756938	exon	healthy donors blood
chr1:1747195|1770677	chr1	1747195	1770677	exon	healthy donors blood
chr1:1747195|1784736	chr1	1747195	1784736	intron	healthy donors blood
chr1:1747195|1811341	chr1	1747195	1811341	intron	healthy donors blood
chr1:1749276|1770677	chr1	1749276	1770677	exon	healthy donors blood
chr1:1756836|1770677	chr1	1756836	1770677	exon	healthy donors blood
chr1:1756836|1784736	chr1	1756836	1784736	intron	healthy donors blood
chr1:1756836|1811341	chr1	1756836	1811341	intron	healthy donors blood
chr1:1770629|1784736	chr1	1770629	1784736	intron	healthy donors blood
chr1:3747610|3754083	chr1	3747610	3754083	exon	healthy donors blood
chr1:3761471|3764177	chr1	3761471	3764177	exon	healthy donors blood
chr1:6592028|6592820	chr1	6592028	6592820	exon	healthy donors blood
chr1:6709196|6710394	chr1	6709196	6710394	intron	healthy donors blood
chr1:6867043|6885270	chr1	6867043	6885270	exon	healthy donors blood
chr1:6867043|6913249	chr1	6867043	6913249	exon	healthy donors blood
chr1:6880241|6894050	chr1	6880241	6894050	intron	healthy donors blood
