ID	chr	circ_start	circ_end	circ_strand	splice_L	circ_type	e_count	e_sizes	e_offsets	b_transcript	b_strand	b_trans_start	b_trans_end	b_gene
chr1:1158624-1159348	chr1	1158624	1159348	-	250	exonic	2	113,137	0,587	ENST00000465727.5_1	-	1152310	1167411	SDF4
chr1:1599766-1671143	chr1	1599766	1671143	-	71377	other	1	71377	0	ENST00000598846.1_1	-	1634174	1669127	AL031282.2
chr1:1601103-1666274	chr1	1601103	1666274	-	65171	other	1	65171	0	ENST00000404249.8_2	-	1633817	1655796	CDK11A
chr1:1647785-1653150	chr1	1647785	1653150	-	346	exonic	3	132,98,116	0,3011,5249	ENST00000598846.1_1	-	1634174	1669127	AL031282.2
chr1:1647785-1654270	chr1	1647785	1654270	-	547	exonic	5	132,128,116,47,124	0,2981,5249,6241,6361	ENST00000378638.6_2	-	1634319	1654270	CDK11A
chr1:1666129-1671143	chr1	1666129	1671143	-	878	exonic	4	145,128,136,469	0,3630,4231,4545	ENST00000355439.7_2	-	1656278	1677438	SLC35E2A
chr1:1747195-1770677	chr1	1747195	1770677	-	297	exonic	4	106,39,103,49	0,2080,9640,23433	ENST00000378609.9_2	-	1716724	1822526	GNB1
chr1:2066701-2082417	chr1	2066701	2082417	+	715	exonic	6	85,132,174,82,53,189	0,8947,10075,10764,13609,15527	ENST00000486681.5_3	+	2036177	2087526	PRKCZ
chr1:2066701-2087531	chr1	2066701	2087531	+	20830	other	1	20830	0	ENST00000486681.5_3	+	2036177	2087526	PRKCZ
chr1:7837220-7838229	chr1	7837220	7838229	+	210	exonic	2	158,52	0,957	ENST00000054666.11_2	+	7831355	7841492	VAMP3
chr1:7895822-7897209	chr1	7895822	7897209	+	334	exonic	2	183,151	0,1236	ENST00000613533.4_1	+	7844488	7905236	PER3
chr1:8482787-8617582	chr1	8482787	8617582	-	761	exonic	8	80,99,100,125,49,105,97,106	0,43197,72335,74677,85898,118485,133746,134689	ENST00000400908.7_4	-	8412463	8877699	RERE
chr1:8525985-8568734	chr1	8525985	8568734	-	372	exonic	4	98,100,125,49	0,29137,31479,42700	ENST00000400908.7_4	-	8412463	8877699	RERE
chr1:8525985-8617582	chr1	8525985	8617582	-	680	exonic	7	98,100,125,49,105,97,106	0,29137,31479,42700,75287,90548,91491	ENST00000400908.7_4	-	8412463	8877699	RERE
chr1:8525985-8674745	chr1	8525985	8674745	-	806	exonic	8	98,100,125,49,105,97,106,126	0,29137,31479,42700,75287,90548,91491,148634	ENST00000400908.7_4	-	8412463	8877699	RERE
chr1:8555123-8601377	chr1	8555123	8601377	-	46254	other	1	46254	0	ENST00000464972.5_1	-	8482849	8586086	RERE
chr1:8555123-8674745	chr1	8555123	8674745	-	707	exonic	7	99,125,49,105,97,106,126	0,2341,13562,46149,61410,62353,119496	ENST00000400908.7_4	-	8412463	8877699	RERE
chr1:8568686-8617582	chr1	8568686	8617582	-	356	exonic	4	48,105,97,106	0,32586,47847,48790	ENST00000400908.7_4	-	8412463	8877699	RERE
chr1:8568686-8674745	chr1	8568686	8674745	-	482	exonic	5	48,105,97,106,126	0,32586,47847,48790,105933	ENST00000400908.7_4	-	8412463	8877699	RERE
chr1:8601273-8617582	chr1	8601273	8617582	-	307	exonic	3	104,97,106	0,15260,16203	ENST00000400908.7_4	-	8412463	8877699	RERE
chr1:8601273-8674745	chr1	8601273	8674745	-	433	exonic	4	104,97,106,126	0,15260,16203,73346	ENST00000400908.7_4	-	8412463	8877699	RERE
chr1:8674620-8716500	chr1	8674620	8716500	-	665	exonic	3	125,71,469	0,9748,41411	ENST00000400908.7_4	-	8412463	8877699	RERE
chr1:8716032-8716500	chr1	8716032	8716500	-	468	exonic	1	468	0	ENST00000400908.7_4	-	8412463	8877699	RERE
chr1:9815172-9816568	chr1	9815172	9816568	-	225	exonic	2	195,30	0,1366	ENST00000377298.8_1	-	9789083	9884584	CLSTN1
chr1:9931245-9938047	chr1	9931245	9938047	-	295	exonic	3	90,120,85	0,781,6717	ENST00000377263.6_2	-	9908333	9970327	CTNNBIP1
chr1:9991949-9994918	chr1	9991949	9994918	-	276	exonic	3	81,96,99	0,911,2870	ENST00000377223.6_2	-	9986350	10003449	LZIC
chr1:9991949-9995685	chr1	9991949	9995685	-	412	exonic	4	81,96,99,136	0,911,2870,3600	ENST00000377223.6_2	-	9986350	10003449	LZIC
chr1:10032076-10041228	chr1	10032076	10041228	+	494	exonic	3	170,184,140	0,3573,9012	ENST00000377205.6_2	+	10003532	10045556	NMNAT1
chr1:10192427-10197263	chr1	10192427	10197263	+	451	exonic	3	113,199,139	0,2618,4697	ENST00000343090.11_2	+	10093015	10241297	UBE4B
chr1:10195046-10197263	chr1	10195046	10197263	+	337	exonic	2	198,139	0,2078	ENST00000343090.11_2	+	10093015	10241297	UBE4B
chr1:10204998-10211619	chr1	10204998	10211619	+	562	exonic	4	99,128,99,236	0,2022,4243,6385	ENST00000343090.11_2	+	10093015	10241297	UBE4B
chr1:10209242-10221344	chr1	10209242	10221344	+	606	exonic	4	98,236,127,145	0,2141,9171,11957	ENST00000343090.11_2	+	10093015	10241297	UBE4B
chr1:10380101-10384953	chr1	10380101	10384953	+	559	exonic	4	93,149,179,138	0,1665,3840,4714	ENST00000377086.5_2	+	10271673	10441661	KIF1B
chr1:10380101-10403345	chr1	10380101	10403345	+	1572	exonic	12	93,149,179,138,249,119,86,130,163,91,119,56	0,1665,3840,4714,6067,14476,16613,17030,17327,19725,22006,23188	ENST00000377086.5_2	+	10271673	10441661	KIF1B
chr1:10380101-10436734	chr1	10380101	10436734	+	3424	exonic	27	93,149,179,138,249,119,86,130,163,91,119,56,109,67,85,106,115,134,62,146,240,72,122,150,193,119,132	0,1665,3840,4714,6067,14476,16613,17030,17327,19725,22006,23188,25801,27717,28605,32587,40885,41648,43239,45056,45365,48423,51097,54272,54810,55211,56501	ENST00000377086.5_2	+	10271673	10441661	KIF1B
chr1:10407819-10408791	chr1	10407819	10408791	+	151	exonic	2	66,85	0,887	ENST00000377086.5_2	+	10271673	10441661	KIF1B
chr1:10423341-10425706	chr1	10423341	10425706	+	447	exonic	3	61,146,240	0,1816,2125	ENST00000377086.5_2	+	10271673	10441661	KIF1B
chr1:10493899-10502498	chr1	10493899	10502498	+	401	exonic	4	123,34,67,177	0,814,6504,8422	ENST00000602787.6_3	+	10490491	10511468	CENPS-CORT
chr1:11184555-11193254	chr1	11184555	11193254	-	1415	exonic	10	135,175,135,183,123,99,97,101,249,118	0,2123,2511,3125,3505,3955,4356,5239,6030,8581	ENST00000361445.8_2	-	11166591	11322564	MTOR
chr1:12061458-12062160	chr1	12061458	12062160	+	343	exonic	3	153,68,122	0,367,580	ENST00000444836.5_1	+	12040237	12073571	MFN2
chr1:12335882-12338095	chr1	12335882	12338095	+	2213	exonic	1	2213	0	ENST00000620676.6_3	+	12290086	12572099	VPS13D
chr1:12460238-12476880	chr1	12460238	12476880	+	698	exonic	5	149,97,149,135,168	0,1422,3639,14901,16474	ENST00000620676.6_3	+	12290086	12572099	VPS13D
chr1:14042036-14075982	chr1	14042036	14075982	+	575	exonic	5	73,118,104,153,127	0,15458,17237,26463,33819	ENST00000376048.9_1	+	14026734	14151560	PRDM2
chr1:14057495-14075982	chr1	14057495	14075982	+	501	exonic	4	117,104,153,127	0,1778,11004,18360	ENST00000376048.9_1	+	14026734	14151560	PRDM2
chr1:14095534-14099683	chr1	14095534	14099683	+	4149	other	1	4149	0	ENST00000503842.5_1	+	14075929	14149994	PRDM2
chr1:14095534-14109326	chr1	14095534	14109326	+	13792	other	1	13792	0	ENST00000343137.8_1	+	14075909	14114152	PRDM2
chr1:14099573-14109326	chr1	14099573	14109326	+	4524	exonic	2	110,4414	0,5339	ENST00000235372.11_1	+	14031349	14151574	PRDM2
chr1:15860732-15863309	chr1	15860732	15863309	+	406	exonic	2	66,340	0,2237	ENST00000375849.5_1	+	15853307	15902587	DNAJC16
chr1:15956820-15978390	chr1	15956820	15978390	+	914	exonic	6	236,127,128,129,104,190	0,3113,7981,13196,19394,21380	ENST00000480945.6_2	+	15943952	15995539	DDI2
chr1:16044388-16047883	chr1	16044388	16047883	+	434	exonic	4	99,88,187,60	0,644,1840,3435	ENST00000375799.8_2	+	16010814	16061264	PLEKHM2
chr1:16199311-16203173	chr1	16199311	16203173	+	797	exonic	2	320,477	0,3385	ENST00000375759.8_2	+	16174201	16266951	SPEN
chr1:16621278-16643066	chr1	16621278	16643066	-	21788	other	1	21788	0	ENST00000375592.8_2	-	16573334	16678975	FBXO42
chr1:17907048-17914974	chr1	17907048	17914974	+	299	exonic	3	79,186,34	0,6906,7892	ENST00000361221.8_2	+	17866192	18024364	ARHGEF10L
chr1:19503086-19514034	chr1	19503086	19514034	-	1378	exonic	9	135,283,170,86,160,188,118,138,100	0,868,2458,7218,7423,8506,9947,10571,10848	ENST00000375254.8_2	-	19401003	19536760	UBR4
chr1:19948594-19952970	chr1	19948594	19952970	+	488	exonic	4	47,110,241,90	0,1373,3291,4286	ENST00000498642.5_1	+	19923534	19953081	MICOS10
chr1:21076216-21100103	chr1	21076216	21100103	-	790	exonic	6	159,91,155,81,144,160	0,7442,15653,17860,21206,23727	ENST00000312239.10_2	-	21069171	21113145	HP1BP3
