circRNA_ID	chr	circRNA_start	circRNA_end	circRNA_type	dataset
chr1:741179|745550	chr1	741179	745550	exon	GBM recurrent
chr1:1158624|1159348	chr1	1158624	1159348	exon	GBM recurrent
chr1:1747195|1756938	chr1	1747195	1756938	exon	GBM recurrent
chr1:7837220|7838229	chr1	7837220	7838229	exon	GBM recurrent
chr1:8525985|8568734	chr1	8525985	8568734	exon	GBM recurrent
chr1:8555123|8617582	chr1	8555123	8617582	exon	GBM recurrent
chr1:8555123|8674745	chr1	8555123	8674745	exon	GBM recurrent
chr1:8568686|8617582	chr1	8568686	8617582	exon	GBM recurrent
chr1:8601273|8617582	chr1	8601273	8617582	exon	GBM recurrent
chr1:8601273|8674745	chr1	8601273	8674745	exon	GBM recurrent
chr1:8716032|8716500	chr1	8716032	8716500	exon	GBM recurrent
chr1:9991949|9994918	chr1	9991949	9994918	exon	GBM recurrent
chr1:10032076|10041228	chr1	10032076	10041228	exon	GBM recurrent
chr1:10195046|10197263	chr1	10195046	10197263	exon	GBM recurrent
chr1:10351140|10357304	chr1	10351140	10357304	exon	GBM recurrent
chr1:10380101|10436734	chr1	10380101	10436734	exon	GBM recurrent
chr1:10407819|10408791	chr1	10407819	10408791	exon	GBM recurrent
chr1:10463128|10464336	chr1	10463128	10464336	exon	GBM recurrent
chr1:10493899|10502498	chr1	10493899	10502498	exon	GBM recurrent
chr1:12335882|12338095	chr1	12335882	12338095	exon	GBM recurrent
chr1:14095613|14099683	chr1	14095613	14099683	exon	GBM recurrent
chr1:14099573|14109326	chr1	14099573	14109326	exon	GBM recurrent
chr1:15860732|15863309	chr1	15860732	15863309	exon	GBM recurrent
chr1:16632298|16641930	chr1	16632298	16641930	exon	GBM recurrent
chr1:19519927|19523759	chr1	19519927	19523759	exon	GBM recurrent
chr1:21071237|21107033	chr1	21071237	21107033	exon	GBM recurrent
chr1:21076216|21100103	chr1	21076216	21100103	exon	GBM recurrent
chr1:21083659|21100103	chr1	21083659	21100103	exon	GBM recurrent
chr1:21083659|21103243	chr1	21083659	21103243	exon	GBM recurrent
chr1:21091870|21100103	chr1	21091870	21100103	exon	GBM recurrent
chr1:21102217|21102498	chr1	21102217	21102498	exon	GBM recurrent
chr1:21220010|21268823	chr1	21220010	21268823	exon	GBM recurrent
chr1:21231376|21268823	chr1	21231376	21268823	exon	GBM recurrent
chr1:21267984|21307720	chr1	21267984	21307720	exon	GBM recurrent
chr1:21267984|21308901	chr1	21267984	21308901	exon	GBM recurrent
chr1:21295967|21307720	chr1	21295967	21307720	exon	GBM recurrent
chr1:21295967|21308901	chr1	21295967	21308901	exon	GBM recurrent
chr1:21295967|21329301	chr1	21295967	21329301	exon	GBM recurrent
chr1:21306827|21308901	chr1	21306827	21308901	exon	GBM recurrent
