circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:741179|745550	chr1	741179	745550	2	2_2_0	11	0.267	exon	ENSG00000230092.7_5,	-	K00302:116:H3TF5BBXY:5:1217:1336:16401,K00302:116:H3TF5BBXY:5:1125:24627:28973,
chr1:1158624|1159348	chr1	1158624	1159348	5	4_4_0	125	0.074	exon	ENSG00000078808.16_3,	-	K00302:116:H3TF5BBXY:5:2108:5842:47770,K00302:116:H3TF5BBXY:5:2214:30107:26054,K00302:116:H3TF5BBXY:5:2123:7385:31206,K00302:116:H3TF5BBXY:5:1105:15463:23434,K00302:116:H3TF5BBXY:5:2120:23541:2193,
chr1:1586823|1588948	chr1	1586823	1588948	2	2_1_0	10	0.286	exon	ENSG00000248333.8_3,	-	K00302:116:H3TF5BBXY:5:2227:7121:20621,K00302:116:H3TF5BBXY:5:2205:20344:8435,
chr1:6867043|6885270	chr1	6867043	6885270	3	3_3_0	49	0.109	exon	ENSG00000171735.19_4,	+	K00302:116:H3TF5BBXY:5:1212:21237:36147,K00302:116:H3TF5BBXY:5:1212:21207:36200,K00302:116:H3TF5BBXY:5:2127:13342:31962,
chr1:7837220|7838229	chr1	7837220	7838229	5	3_3_3	110	0.083	exon	ENSG00000049245.13_4,	+	K00302:116:H3TF5BBXY:5:1102:27671:21131,K00302:116:H3TF5BBXY:5:2223:25855:46856,K00302:116:H3TF5BBXY:5:1215:3265:29624,K00302:116:H3TF5BBXY:5:1206:23409:41915,K00302:116:H3TF5BBXY:5:2116:23947:17667,
chr1:8601273|8674745	chr1	8601273	8674745	3	2_3_0	32	0.158	exon	ENSG00000142599.18_5,	-	K00302:116:H3TF5BBXY:5:1108:32573:26881,K00302:116:H3TF5BBXY:5:1204:19786:48403,K00302:116:H3TF5BBXY:5:2219:24109:12954,
chr1:8716032|8716500	chr1	8716032	8716500	2	2_1_0	43	0.085	exon	ENSG00000142599.18_5,	-	K00302:116:H3TF5BBXY:5:2217:1783:43796,K00302:116:H3TF5BBXY:5:1106:10764:43005,
chr1:14095613|14099683	chr1	14095613	14099683	3	1_2_0	22	0.214	exon	ENSG00000116731.22_3,	+	K00302:116:H3TF5BBXY:5:2212:24627:16172,K00302:116:H3TF5BBXY:5:2212:24596:21957,K00302:116:H3TF5BBXY:5:1120:9557:19179,
chr1:21083659|21100103	chr1	21083659	21100103	3	3_2_0	144	0.040	exon	ENSG00000127483.18_4,	-	K00302:116:H3TF5BBXY:5:1218:13382:7556,K00302:116:H3TF5BBXY:5:2205:3762:45291,K00302:116:H3TF5BBXY:5:2202:10389:38170,
chr1:23356962|23377013	chr1	23356962	23377013	5	3_2_0	35	0.222	exon	ENSG00000004487.16_5,	+	K00302:116:H3TF5BBXY:5:1228:17563:45572,K00302:116:H3TF5BBXY:5:2120:19065:43181,K00302:116:H3TF5BBXY:5:2202:29944:14695,K00302:116:H3TF5BBXY:5:1209:11941:26828,K00302:116:H3TF5BBXY:5:2212:13656:22063,
