circRNA_ID	chr	circRNA_start	circRNA_end	circRNA_type	dataset
chr1:9119725|9121568	chr1	9119725	9121568	intron	GBM mesenchymal
chr1:38327365|38335233	chr1	38327365	38335233	intron	GBM mesenchymal
chr1:212218002|212220759	chr1	212218002	212220759	exon	GBM mesenchymal
chr1:219366472|219385094	chr1	219366472	219385094	exon	GBM mesenchymal
chr1:223073123|223116674	chr1	223073123	223116674	intron	GBM mesenchymal
chr1:231954075|231954896	chr1	231954075	231954896	exon	GBM mesenchymal
chr10:1118056|1126416	chr10	1118056	1126416	exon	GBM mesenchymal
chr10:3160974|3162236	chr10	3160974	3162236	exon	GBM mesenchymal
chr10:26800676|26830621	chr10	26800676	26830621	exon	GBM mesenchymal
chr10:75156277|75160615	chr10	75156277	75160615	exon	GBM mesenchymal
chr10:94700484|94708136	chr10	94700484	94708136	exon	GBM mesenchymal
chr10:114454636|114457250	chr10	114454636	114457250	intron	GBM mesenchymal
chr10:121275021|121286936	chr10	121275021	121286936	exon	GBM mesenchymal
chr11:29404803|29405659	chr11	29404803	29405659	intron	GBM mesenchymal
chr11:35250884|35251180	chr11	35250884	35251180	exon	GBM mesenchymal
chr11:61205097|61205585	chr11	61205097	61205585	exon	GBM mesenchymal
chr11:94532556|94533477	chr11	94532556	94533477	exon	GBM mesenchymal
chr11:118626969|118629611	chr11	118626969	118629611	exon	GBM mesenchymal
chr12:9251977|9333728	chr12	9251977	9333728	intergenic_region	GBM mesenchymal
chr12:46339032|46357971	chr12	46339032	46357971	exon	GBM mesenchymal
chr12:56182859|56189860	chr12	56182859	56189860	exon	GBM mesenchymal
chr12:57928839|57929628	chr12	57928839	57929628	exon	GBM mesenchymal
chr12:112937421|112939147	chr12	112937421	112939147	intron	GBM mesenchymal
chr12:121614950|121615249	chr12	121614950	121615249	exon	GBM mesenchymal
chr12:133310971|133312098	chr12	133310971	133312098	exon	GBM mesenchymal
chr13:21742127|21742538	chr13	21742127	21742538	exon	GBM mesenchymal
chr13:41133646|41134997	chr13	41133646	41134997	exon	GBM mesenchymal
chr13:53007797|53009017	chr13	53007797	53009017	exon	GBM mesenchymal
chr15:29362771|29362916	chr15	29362771	29362916	intron	GBM mesenchymal
chr15:34134065|34137263	chr15	34134065	34137263	exon	GBM mesenchymal
chr15:44046022|44048964	chr15	44046022	44048964	exon	GBM mesenchymal
chr15:44898223|44900803	chr15	44898223	44900803	exon	GBM mesenchymal
chr15:50209131|50226379	chr15	50209131	50226379	exon	GBM mesenchymal
chr15:100185766|100215663	chr15	100185766	100215663	exon	GBM mesenchymal
chr15:100778356|100779029	chr15	100778356	100779029	intron	GBM mesenchymal
chr16:1403209|1404340	chr16	1403209	1404340	intron	GBM mesenchymal
chr16:15758593|15761296	chr16	15758593	15761296	exon	GBM mesenchymal
chr16:19775170|19775434	chr16	19775170	19775434	exon	GBM mesenchymal
chr16:31373157|31374074	chr16	31373157	31374074	exon	GBM mesenchymal
chr17:25630393|25637200	chr17	25630393	25637200	exon	GBM mesenchymal
chr17:42984396|42984702	chr17	42984396	42984702	exon	GBM mesenchymal
chr17:45447803|45456619	chr17	45447803	45456619	exon	GBM mesenchymal
chr17:64023619|64026141	chr17	64023619	64026141	exon	GBM mesenchymal
chr18:59739906|59770135	chr18	59739906	59770135	exon	GBM mesenchymal
chr18:66678171|66721370	chr18	66678171	66721370	exon	GBM mesenchymal
chr18:67613970|67614669	chr18	67613970	67614669	exon	GBM mesenchymal
chr19:1791749|1792134	chr19	1791749	1792134	exon	GBM mesenchymal
chr19:6697355|6697805	chr19	6697355	6697805	exon	GBM mesenchymal
chr19:8538548|8539128	chr19	8538548	8539128	exon	GBM mesenchymal
chr19:10883155|10887892	chr19	10883155	10887892	exon	GBM mesenchymal
chr19:17265683|17266093	chr19	17265683	17266093	intron	GBM mesenchymal
chr19:18285850|18286507	chr19	18285850	18286507	exon	GBM mesenchymal
chr19:19750894|19751380	chr19	19750894	19751380	exon	GBM mesenchymal
chr19:40391998|40406060	chr19	40391998	40406060	intron	GBM mesenchymal
chr19:55086198|55143238	chr19	55086198	55143238	intergenic_region	GBM mesenchymal
chr2:26350013|26350820	chr2	26350013	26350820	exon	GBM mesenchymal
chr20:30995517|30997431	chr20	30995517	30997431	intron	GBM mesenchymal
chr20:58755108|58755971	chr20	58755108	58755971	intron	GBM mesenchymal
chr21:34804484|34805178	chr21	34804484	34805178	exon	GBM mesenchymal
chr21:35279645|35281515	chr21	35279645	35281515	exon	GBM mesenchymal
chr22:18068708|18068995	chr22	18068708	18068995	intron	GBM mesenchymal
chr22:20009865|20011660	chr22	20009865	20011660	intron	GBM mesenchymal
chr22:46572650|46594488	chr22	46572650	46594488	exon	GBM mesenchymal
chr3:32757717|32758729	chr3	32757717	32758729	exon	GBM mesenchymal
chr3:41265512|41278200	chr3	41265512	41278200	exon	GBM mesenchymal
chr3:121366166|121376199	chr3	121366166	121376199	exon	GBM mesenchymal
chr3:168027093|168031964	chr3	168027093	168031964	exon	GBM mesenchymal
chr4:38828306|38831158	chr4	38828306	38831158	exon	GBM mesenchymal
chr4:149398525|149465736	chr4	149398525	149465736	intergenic_region	GBM mesenchymal
chr4:186096940|186097205	chr4	186096940	186097205	exon	GBM mesenchymal
chr5:39201928|39203089	chr5	39201928	39203089	exon	GBM mesenchymal
chr5:52157281|52161651	chr5	52157281	52161651	exon	GBM mesenchymal
chr5:80083384|80088663	chr5	80083384	80088663	exon	GBM mesenchymal
chr5:82832826|82850857	chr5	82832826	82850857	exon	GBM mesenchymal
chr5:109152974|109178162	chr5	109152974	109178162	exon	GBM mesenchymal
chr5:138145727|138163407	chr5	138145727	138163407	exon	GBM mesenchymal
chr5:172359439|172362313	chr5	172359439	172362313	exon	GBM mesenchymal
chr6:29858023|29912393	chr6	29858023	29912393	intergenic_region	GBM mesenchymal
chr6:56466241|56479282	chr6	56466241	56479282	exon	GBM mesenchymal
chr6:144843116|144844324	chr6	144843116	144844324	exon	GBM mesenchymal
chr7:12668726|12680142	chr7	12668726	12680142	exon	GBM mesenchymal
chr7:90355881|90356126	chr7	90355881	90356126	exon	GBM mesenchymal
chr7:90492490|90585132	chr7	90492490	90585132	exon	GBM mesenchymal
chr7:98988516|98988876	chr7	98988516	98988876	exon	GBM mesenchymal
chr7:102114808|102207530	chr7	102114808	102207530	intergenic_region	GBM mesenchymal
chr7:121568210|121651363	chr7	121568210	121651363	exon	GBM mesenchymal
chr7:128220053|128232071	chr7	128220053	128232071	exon	GBM mesenchymal
chr7:128845044|128846428	chr7	128845044	128846428	exon	GBM mesenchymal
chr7:129679304|129681313	chr7	129679304	129681313	intron	GBM mesenchymal
chr7:137304570|137374748	chr7	137304570	137374748	exon	GBM mesenchymal
chr8:38947566|38948865	chr8	38947566	38948865	exon	GBM mesenchymal
chr8:131370263|131374017	chr8	131370263	131374017	exon	GBM mesenchymal
chr8:142170731|142173528	chr8	142170731	142173528	exon	GBM mesenchymal
chr9:325671|340321	chr9	325671	340321	exon	GBM mesenchymal
chr9:6493826|6500709	chr9	6493826	6500709	exon	GBM mesenchymal
chr9:26861064|26884883	chr9	26861064	26884883	exon	GBM mesenchymal
chr9:88918001|88920154	chr9	88918001	88920154	exon	GBM mesenchymal
chr9:114842354|114860942	chr9	114842354	114860942	exon	GBM mesenchymal
chrX:1395545|1395717	chrX	1395545	1395717	intron	GBM mesenchymal
chr1:1417518|1454370	chr1	1417518	1454370	intergenic_region	GBM mesenchymal
chr1:1417925|1455686	chr1	1417925	1455686	intergenic_region	GBM mesenchymal
chr1:15768943|15770050	chr1	15768943	15770050	exon	GBM mesenchymal
chr1:16891302|16893846	chr1	16891302	16893846	exon	GBM mesenchymal
chr1:28200657|28201174	chr1	28200657	28201174	intron	GBM mesenchymal
chr1:29088812|29090062	chr1	29088812	29090062	intron	GBM mesenchymal
chr1:29474592|29475738	chr1	29474592	29475738	exon	GBM mesenchymal
chr1:32697345|32697785	chr1	32697345	32697785	exon	GBM mesenchymal
chr1:36636572|36639079	chr1	36636572	36639079	exon	GBM mesenchymal
chr1:39752958|39753234	chr1	39752958	39753234	exon	GBM mesenchymal
chr1:41514362|41541123	chr1	41514362	41541123	exon	GBM mesenchymal
chr1:51829538|51831701	chr1	51829538	51831701	exon	GBM mesenchymal
chr1:54273329|54291609	chr1	54273329	54291609	exon	GBM mesenchymal
chr1:110217369|110233186	chr1	110217369	110233186	intron	GBM mesenchymal
chr1:114372214|114377061	chr1	114372214	114377061	exon	GBM mesenchymal
chr1:155582209|155717687	chr1	155582209	155717687	intergenic_region	GBM mesenchymal
chr1:224868660|224922408	chr1	224868660	224922408	exon	GBM mesenchymal
chr10:13891757|13891937	chr10	13891757	13891937	intron	GBM mesenchymal
chr10:70085239|70090412	chr10	70085239	70090412	intron	GBM mesenchymal
chr10:72462068|72468534	chr10	72462068	72468534	exon	GBM mesenchymal
chr11:3777946|3778768	chr11	3777946	3778768	intron	GBM mesenchymal
chr11:8832794|8860897	chr11	8832794	8860897	exon	GBM mesenchymal
chr11:9416999|9417736	chr11	9416999	9417736	intron	GBM mesenchymal
chr11:62303417|62304039	chr11	62303417	62304039	exon	GBM mesenchymal
chr11:65270588|65272490	chr11	65270588	65272490	exon	GBM mesenchymal
chr11:74554395|74559507	chr11	74554395	74559507	exon	GBM mesenchymal
chr11:89155070|89185063	chr11	89155070	89185063	exon	GBM mesenchymal
chr12:9227156|9305939	chr12	9227156	9305939	intergenic_region	GBM mesenchymal
chr12:42958285|42961595	chr12	42958285	42961595	intron	GBM mesenchymal
chr12:44238427|44338145	chr12	44238427	44338145	exon	GBM mesenchymal
chr12:80317747|80318318	chr12	80317747	80318318	intron	GBM mesenchymal
