seqnames	start	end	width	strand	CLR	lfc	pval	fdr	ENSEMBL	geneName
chr15	84228005	84257523	29519	+	0.463	-4.11628639792007	1.43951593742811e-32	2.85887865173222e-29	ENSG00000140600	SH3GL3
chr2	120885264	120932576	47313	+	0.545	-4.10230735957684	2.90702199219285e-26	2.8866728382475e-23	ENSG00000115109	EPB41L5
chr9	77611363	77632364	21002	-	0.509	-3.4079890690411	9.02594926347344e-23	5.97517841241942e-20	ENSG00000156017	CARNMT1
chr13	42742576	42764661	22086	+	0.579	-3.676067201018	4.13033620666329e-21	2.05071192660832e-18	ENSG00000102780	DGKH
chr1	227381487	227441856	60370	-	0.17	-3.41696556441958	2.12202587525151e-20	8.428686776499e-18	ENSG00000143776	CDC42BPA
chr8	105053554	105161076	107523	+	0.802	-4.71543845293603	5.41148524638796e-20	1.79120161655441e-17	ENSG00000176406	RIMS2
chr2	2837025	2839371	2347	-	0.875	-4.87062528526981	9.63008406048747e-20	2.73219242058973e-17	n/a	
chr10	123596233	123683844	87612	-	0.151	-4.20735856042413	1.21321439232371e-19	3.01180472894362e-17	ENSG00000107669	ATE1
chr7	122047594	122114571	66978	-	0.112	-4.18120030124787	1.53735161280992e-18	3.39242255893389e-16	ENSG00000081803	CADPS2
chr20	50273477	50307358	33882	-	0.09	-3.21991682542364	2.82350711000902e-18	5.60748512047791e-16	ENSG00000054793	ATP9A
chr3	120871324	120959354	88031	+	0.161	-3.17092645681795	3.59815051887595e-18	6.49629720953422e-16	ENSG00000145087	STXBP5L
chr7	121985628	122056218	70591	-	0.107	-5.5047077071675	1.2521722301944e-17	2.07234504097174e-15	ENSG00000081803	CADPS2
chr15	25511578	25524031	12454	+	0.345	-2.64564702702267	5.68775241465821e-17	8.68913561193169e-15	ENSG00000224078	
chr13	79915258	79918929	3672	-	0.107	-3.21034726097894	6.48410756213805e-17	9.19816972743297e-15	ENSG00000139746	RBM26
chr10	117185760	117309046	123287	+	0.09	-3.26302684880578	9.26020749813067e-17	1.2260514727525e-14	ENSG00000107518	ATRNL1
chr18	54444013	54483375	39363	+	0.153	-3.15979017596493	1.5143610639427e-16	1.87970067061888e-14	ENSG00000091157	WDR7
chr19	47919909	47920607	699	-	0.738	-4.08383738525107	4.52229059114163e-16	5.28309947882781e-14	ENSG00000105419	MEIS3
chr2	228881122	228884872	3751	-	0.685	-4.8424098923095	6.32222153482966e-16	6.96672789234114e-14	ENSG00000153820	SPHKAP
chr8	105053557	105161076	107520	+	0.222	-5.41912746601333	6.66504682550261e-16	6.96672789234114e-14	ENSG00000176406	RIMS2
chr6	73005640	73043538	37899	+	0.95	-3.90148914115602	1.25745197718e-15	1.24864981333974e-13	ENSG00000079841	RIMS1
chr5	94204038	94248681	44644	-	0.233	-3.6497430292355	1.38504320711485e-15	1.30985514730004e-13	ENSG00000175471	MCTP1
chr3	183368084	183371877	3794	+	0.223	-4.52253723193829	1.87383476722265e-15	1.69156174895645e-13	ENSG00000114796	KLHL24
chr6	69703660	69785930	82271	+	0.134	-2.7491106892039	2.61317776736742e-15	2.25642219390943e-13	ENSG00000135298	ADGRB3
chr4	123111155	123122281	11127	+	0.058	-3.26925933398788	2.8682931910183e-15	2.37351261556764e-13	ENSG00000138688	KIAA1109
chr20	30954187	30956926	2740	+	0.263	3.09435510992591	3.39244982369999e-15	2.61667757305511e-13	ENSG00000171456	ASXL1
chr15	51827860	51839605	11746	-	0.188	-3.23730650811706	3.42566046824939e-15	2.61667757305511e-13	ENSG00000104093	DMXL2
chr16	81388010	81411307	23298	+	0.557	-3.85740585819878	3.66218377241203e-15	2.69373961926307e-13	ENSG00000261609	GAN
chr1	54059781	54065951	6171	-	0.706	-3.89676612799236	4.07122351745343e-15	2.88766068059375e-13	ENSG00000174332	GLIS1
chr8	101276262	101300495	24234	-	0.321	-4.19405336960305	5.9731205954617e-15	3.99326663484901e-13	ENSG00000034677	RNF19A
chr7	122194604	122261771	67168	-	0.04	-3.31321026430946	6.03212482605591e-15	3.99326663484901e-13	ENSG00000081803	CADPS2
chr7	8257935	8275570	17636	-	0.185	-3.05157096090517	2.22215024653624e-14	1.40547330037217e-12	ENSG00000003147	ICA1
chr6	146240484	146254314	13831	-	0.413	-2.44542374960845	2.26460954742746e-14	1.40547330037217e-12	ENSG00000146414	SHPRH
chr2	66510471	66512607	2137	+	1	-3.6864833415417	3.69817177248365e-14	2.22562701216744e-12	n/a	
chr7	122255235	122269382	14148	-	0.058	-4.11927237392884	4.25567228317349e-14	2.48581328070075e-12	ENSG00000081803	CADPS2
chr10	90661413	90682193	20781	+	0.389	-2.34224529087783	4.6666687037439e-14	2.64800115589582e-12	ENSG00000138134	STAMBPL1
chr10	120445495	120489922	44428	-	0.37	-2.79774267272915	5.87176377797695e-14	3.23925635085062e-12	ENSG00000151893	CACUL1
chr1	229599290	229601266	1977	-	0.162	-3.2325783031081	7.6196365187786e-14	4.08989138548495e-12	ENSG00000069248	NUP133
chr3	183368084	183369064	981	+	0.109	-3.04512219450311	8.99922344229561e-14	4.64676854041973e-12	ENSG00000114796	KLHL24
chr6	136990421	137019820	29400	-	0.148	-2.47243204322001	9.2725638237196e-14	4.64676854041973e-12	ENSG00000197442	MAP3K5
chr10	123629521	123683844	54324	-	0.238	-3.21719142429131	9.35905043387659e-14	4.64676854041973e-12	ENSG00000107669	ATE1
chr21	38126481	38139586	13106	-	0.571	-2.6770833344121	1.04821732797798e-13	5.07746247162015e-12	ENSG00000159267	HLCS
chr6	76344423	76380436	36014	+	0.191	-2.65347407163733	1.1304952152757e-13	5.3456273750894e-12	ENSG00000112701	SENP6
chr12	1372200	1553916	181717	+	0.111	-4.03079063606138	1.32516266466535e-13	6.0792033537995e-12	ENSG00000082805	ERC1
chr5	82832826	82838087	5262	+	0.829	3.80786347488179	1.34685270678337e-13	6.0792033537995e-12	ENSG00000038427	VCAN
chr10	66643455	66696529	53075	+	0.706	-4.21112462295133	1.41314661814724e-13	6.23668707475648e-12	n/a	
chr15	61194521	61195883	1363	-	0.917	-4.74153642953292	1.75808508960695e-13	7.59034127817263e-12	ENSG00000069667	RORA
chr15	62299507	62306191	6685	-	0.681	-2.12710526772371	1.83764120127093e-13	7.76501154409374e-12	ENSG00000129003	VPS13C
chr1	70518709	70573509	54801	+	0.294	-2.60848881418564	1.9470035663952e-13	8.05572725596012e-12	ENSG00000033122	LRRC7
chr8	62588699	62596747	8049	-	0.162	-2.92645755832422	2.583189834487e-13	1.04698265536555e-11	ENSG00000198363	ASPH
chr5	136969726	136975666	5941	-	0.316	-2.90572061173916	2.6386836928811e-13	1.04808516281237e-11	ENSG00000146021	KLHL3
chr10	15863655	15889942	26288	-	0.366	-2.11465278584915	3.20280570265521e-13	1.24721022068103e-11	ENSG00000148481	MINDY3
chr20	34446224	34451322	5099	+	0.07	-3.8820122958904	3.36466482677018e-13	1.28504314345492e-11	ENSG00000025293	PHF20
chr6	138655107	138656325	1219	+	0.186	-3.59177344783445	3.56335131539004e-13	1.33524824761597e-11	ENSG00000112379	ARFGEF3
chr6	56846509	56857353	10845	+	0.252	-2.42919623281798	3.87006382306472e-13	1.42332347270491e-11	ENSG00000151917	BEND6
chr3	192381864	192391059	9196	-	0.667	-2.76058377148485	4.17598815748194e-13	1.50791136013803e-11	ENSG00000114279	FGF12
chr6	89554076	89601634	47559	-	0.25	-3.8128206659783	5.39927206035245e-13	1.91481326997499e-11	ENSG00000111880	RNGTT
chr4	73984405	73991029	6625	-	0.459	-2.25688689730427	6.43151646143152e-13	2.2408757355093e-11	ENSG00000132466	ANKRD17
chr12	28458582	28544344	85763	+	0.3	-2.51229521299044	7.5995399243561e-13	2.60218729133987e-11	ENSG00000123106	CCDC91
chr18	74561482	74583781	22300	+	0.328	-2.41673485656574	8.22366084511146e-13	2.76816787091379e-11	ENSG00000130856	ZNF236
chr15	89656956	89698765	41810	+	0.187	-2.62534105204525	8.53509140913674e-13	2.82511525642426e-11	ENSG00000140526	ABHD2
chr14	61278705	61346553	67849	+	0.215	-2.37135026168785	8.75976615221339e-13	2.85195009480259e-11	ENSG00000020426	MNAT1
chr6	126314903	126334247	19345	+	0.414	-3.13730240865034	9.16808257783522e-13	2.93674387090012e-11	ENSG00000066651	TRMT11
chr6	24539164	24539908	745	-	0.96	-5.04602876840716	9.37514571193941e-13	2.95540307681138e-11	n/a	
chr3	183368084	183382827	14744	+	0.066	-2.94347455272575	1.17624084208417e-12	3.65002236309245e-11	ENSG00000114796	KLHL24
chr7	152480272	152522207	41936	+	0.214	-2.61041616138984	1.25130872190595e-12	3.82322941800804e-11	ENSG00000133627	ACTR3B
chr3	142496474	142503882	7409	+	0.212	-3.26012218005777	1.40381794672979e-12	4.22421582152328e-11	ENSG00000144935	TRPC1
chr1	213251038	213341316	90279	+	0.075	-2.54731217945284	1.43518775970589e-12	4.25415356832224e-11	ENSG00000136643	RPS6KC1
chr5	72370569	72373320	2752	+	0.345	2.2212355931005	1.66020127523095e-12	4.84876431265982e-11	ENSG00000157107	FCHO2
chr3	121097563	121100379	2817	+	0.382	-3.12962716852435	2.16545760465442e-12	6.23275188817925e-11	ENSG00000145087	STXBP5L
chr1	27056142	27059283	3142	+	0.286	2.57610468028072	2.27667755634749e-12	6.45925946700874e-11	ENSG00000117713	ARID1A
chr6	131919427	131929211	9785	-	0.533	-2.90865892582671	2.61291326536547e-12	7.30879682396595e-11	ENSG00000112282	MED23
chr10	14938845	14939516	672	+	0.4	-3.26252156560698	2.86709388941248e-12	7.90840064496275e-11	ENSG00000152455	SUV39H2
chr1	118413069	118463047	49979	-	0.421	-2.56598713649011	3.41098746663577e-12	9.27975494347759e-11	ENSG00000196505	GDAP2
chr6	147322577	147440613	118037	-	0.667	-2.91509591544041	3.71291059818018e-12	9.96464925403491e-11	ENSG00000233452	STXBP5-AS1
chr10	61844360	61848116	3757	-	0.098	-2.85627241111134	4.31996063723033e-12	1.14392557673859e-10	ENSG00000151150	ANK3
chr6	24578338	24583930	5593	-	0.111	-2.70217593158496	4.50000468902484e-12	1.17592227794781e-10	ENSG00000137261	KIAA0319
chr15	54586093	54630687	44595	+	0.215	-3.77772599665378	4.93231740750987e-12	1.27215355471618e-10	ENSG00000137766	UNC13C
chr7	122076414	122114571	38158	-	0.074	-3.8036825619092	5.09568384876146e-12	1.2974395030308e-10	ENSG00000081803	CADPS2
chr13	35615070	35633000	17931	+	0.143	-3.29750945851047	5.61108284158307e-12	1.40359687413074e-10	ENSG00000172915	NBEA
chr7	122019422	122056218	36797	-	0.067	-3.77976957933368	5.65396525329603e-12	1.40359687413074e-10	ENSG00000081803	CADPS2
chr1	8525985	8617582	91598	-	0.216	-3.51761485463116	6.16025301154715e-12	1.51040277542378e-10	ENSG00000142599	RERE
chr5	94114815	94248681	133867	-	0.286	-2.68644931285112	7.83148591435707e-12	1.89674768608697e-10	ENSG00000175471	MCTP1
