circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:1158624|1159348	chr1	1158624	1159348	10	5_3_0	67	0.230	exon	ENSG00000078808.16_3,	-	K00302:179:HHYC5BBXY:1:2217:1742:23821,K00302:179:HHYC5BBXY:1:2202:29772:14150,K00302:179:HHYC5BBXY:1:2218:11089:8646,K00302:179:HHYC5BBXY:1:1213:14083:19496,K00302:179:HHYC5BBXY:1:1221:2240:19795,K00302:179:HHYC5BBXY:1:2101:23520:35180,K00302:179:HHYC5BBXY:1:2107:25621:25843,K00302:179:HHYC5BBXY:1:2111:16630:18107,K00302:179:HHYC5BBXY:1:2111:16701:18124,K00302:179:HHYC5BBXY:1:2114:14976:28463,
chr1:1735858|1749314	chr1	1735858	1749314	2	2_2_0	453	0.009	exon	ENSG00000078369.18_3,	-	K00302:179:HHYC5BBXY:1:2202:4716:43462,K00302:179:HHYC5BBXY:1:1203:3112:5939,
chr1:1747195|1770677	chr1	1747195	1770677	2	2_2_0	285	0.014	exon	ENSG00000078369.18_3,	-	K00302:179:HHYC5BBXY:1:2213:30279:16471,K00302:179:HHYC5BBXY:1:2204:32664:17263,
chr1:6592028|6592820	chr1	6592028	6592820	5	1_2_0	34	0.227	exon	ENSG00000162408.11_3,	-	K00302:179:HHYC5BBXY:1:2127:7973:12075,K00302:179:HHYC5BBXY:1:2127:7862:12585,K00302:179:HHYC5BBXY:1:2127:8197:12673,K00302:179:HHYC5BBXY:1:2127:6583:14555,K00302:179:HHYC5BBXY:1:1127:5446:14730,
chr1:6727769|6741097	chr1	6727769	6741097	3	3_2_0	53	0.102	exon	ENSG00000007923.16_4,	-	K00302:179:HHYC5BBXY:1:2215:2585:43779,K00302:179:HHYC5BBXY:1:1121:4980:11003,K00302:179:HHYC5BBXY:1:2101:13535:32824,
chr1:6867043|6885270	chr1	6867043	6885270	2	1_2_0	38	0.095	exon	ENSG00000171735.19_4,	+	K00302:179:HHYC5BBXY:1:2119:23196:42882,K00302:179:HHYC5BBXY:1:1201:22465:17315,
chr1:8482787|8674745	chr1	8482787	8674745	2	2_2_0	24	0.143	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:1118:29559:31787,K00302:179:HHYC5BBXY:1:1118:32299:44377,
chr1:8525985|8568734	chr1	8525985	8568734	2	2_2_0	84	0.045	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:2201:16660:6906,K00302:179:HHYC5BBXY:1:2201:21704:37871,
chr1:8525985|8617582	chr1	8525985	8617582	5	3_4_0	90	0.100	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:1106:1864:20129,K00302:179:HHYC5BBXY:1:1111:7608:44113,K00302:179:HHYC5BBXY:1:1228:32035:43568,K00302:179:HHYC5BBXY:1:2105:10348:44605,K00302:179:HHYC5BBXY:1:1221:3995:11055,
chr1:8525985|8674745	chr1	8525985	8674745	7	4_3_0	37	0.275	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:2224:5365:23135,K00302:179:HHYC5BBXY:1:1112:17634:23786,K00302:179:HHYC5BBXY:1:2128:21288:29378,K00302:179:HHYC5BBXY:1:1104:2879:5323,K00302:179:HHYC5BBXY:1:1113:28889:22854,K00302:179:HHYC5BBXY:1:1113:30178:23364,K00302:179:HHYC5BBXY:1:1208:4269:26406,
chr1:8555123|8568734	chr1	8555123	8568734	3	3_3_0	82	0.068	exon	ENSG00000142599.18_5,	-	K00302:179:HHYC5BBXY:1:2119:1895:47999,K00302:179:HHYC5BBXY:1:2120:12499:2545,K00302:179:HHYC5BBXY:1:1227:26474:22397,
