circRNA_ID	chr	circRNA_start	circRNA_end	circRNA_type	dataset
chr1:12422776|12423303	chr1	12422776	12423303	exon	GBM proneural
chr1:29474592|29476704	chr1	29474592	29476704	exon	GBM proneural
chr1:45340350|45341367	chr1	45340350	45341367	exon	GBM proneural
chr1:65047839|65099943	chr1	65047839	65099943	exon	GBM proneural
chr1:145319624|145323705	chr1	145319624	145323705	intron	GBM proneural
chr1:151089868|151090615	chr1	151089868	151090615	exon	GBM proneural
chr1:170688867|170699489	chr1	170688867	170699489	exon	GBM proneural
chr10:31644073|31676195	chr10	31644073	31676195	exon	GBM proneural
chr10:81459935|81587113	chr10	81459935	81587113	intergenic_region	GBM proneural
chr11:9424837|9431633	chr11	9424837	9431633	exon	GBM proneural
chr11:46333876|46334470	chr11	46333876	46334470	exon	GBM proneural
chr11:120524394|120531109	chr11	120524394	120531109	exon	GBM proneural
chr12:57927736|57928235	chr12	57927736	57928235	exon	GBM proneural
chr12:122090634|122091165	chr12	122090634	122091165	exon	GBM proneural
chr13:49951103|49957077	chr13	49951103	49957077	exon	GBM proneural
chr13:114240089|114294690	chr13	114240089	114294690	exon	GBM proneural
chr14:56083235|56086030	chr14	56083235	56086030	exon	GBM proneural
chr14:58718837|58724716	chr14	58718837	58724716	exon	GBM proneural
chr14:70442432|70461197	chr14	70442432	70461197	exon	GBM proneural
chr14:97312432|97322923	chr14	97312432	97322923	exon	GBM proneural
chr15:40678563|40684224	chr15	40678563	40684224	exon	GBM proneural
chr15:44776422|44783197	chr15	44776422	44783197	exon	GBM proneural
chr15:84782379|84795352	chr15	84782379	84795352	exon	GBM proneural
chr16:3690716|3693037	chr16	3690716	3693037	exon	GBM proneural
chr17:5241314|5250220	chr17	5241314	5250220	exon	GBM proneural
chr18:13438243|13484118	chr18	13438243	13484118	exon	GBM proneural
chr19:5645348|5654467	chr19	5645348	5654467	exon	GBM proneural
chr19:14232344|14237049	chr19	14232344	14237049	exon	GBM proneural
chr19:21281621|21349264	chr19	21281621	21349264	intergenic_region	GBM proneural
chr19:36252920|36253257	chr19	36252920	36253257	exon	GBM proneural
chr19:37916770|37935866	chr19	37916770	37935866	exon	GBM proneural
chr19:52918377|52938462	chr19	52918377	52938462	intergenic_region	GBM proneural
chr2:33488361|33518349	chr2	33488361	33518349	exon	GBM proneural
chr2:33525518|33526711	chr2	33525518	33526711	exon	GBM proneural
chr2:39146504|39148564	chr2	39146504	39148564	exon	GBM proneural
chr2:43805652|43818093	chr2	43805652	43818093	exon	GBM proneural
chr2:43813540|43819555	chr2	43813540	43819555	exon	GBM proneural
chr2:44502643|44503104	chr2	44502643	44503104	exon	GBM proneural
chr2:49003419|49036780	chr2	49003419	49036780	intergenic_region	GBM proneural
chr2:109463194|109473426	chr2	109463194	109473426	exon	GBM proneural
chr2:111423840|111427130	chr2	111423840	111427130	exon	GBM proneural
chr2:135756308|135757585	chr2	135756308	135757585	exon	GBM proneural
chr2:170802798|170815036	chr2	170802798	170815036	exon	GBM proneural
chr2:207006665|207008856	chr2	207006665	207008856	exon	GBM proneural
chr2:215657021|215661841	chr2	215657021	215661841	exon	GBM proneural
chr2:217542835|217543802	chr2	217542835	217543802	exon	GBM proneural
chr20:47342827|47364417	chr20	47342827	47364417	exon	GBM proneural
chr21:17586577|17764005	chr21	17586577	17764005	intron	GBM proneural
chr22:47085889|47116912	chr22	47085889	47116912	exon	GBM proneural
chr3:47716965|47719801	chr3	47716965	47719801	exon	GBM proneural
chr3:59908072|59999990	chr3	59908072	59999990	intron	GBM proneural
chr3:120053709|120054800	chr3	120053709	120054800	exon	GBM proneural
chr3:141688915|141713983	chr3	141688915	141713983	exon	GBM proneural
chr3:153912433|153943799	chr3	153912433	153943799	exon	GBM proneural
chr3:166858477|166952747	chr3	166858477	166952747	intergenic_region	GBM proneural
chr3:167319915|167353532	chr3	167319915	167353532	intron	GBM proneural
chr3:172013153|172028671	chr3	172013153	172028671	exon	GBM proneural
chr3:176792300|176792458	chr3	176792300	176792458	intron	GBM proneural
chr3:185195114|185200240	chr3	185195114	185200240	exon	GBM proneural
chr4:57138487|57138658	chr4	57138487	57138658	exon	GBM proneural
chr4:77969602|77987558	chr4	77969602	77987558	exon	GBM proneural
chr4:95506716|95561601	chr4	95506716	95561601	exon	GBM proneural
chr4:110580167|110585550	chr4	110580167	110585550	exon	GBM proneural
chr4:114421619|114469885	chr4	114421619	114469885	exon	GBM proneural
chr4:128904094|128910976	chr4	128904094	128910976	exon	GBM proneural
